sentence,sentiment,opinion,aspect,subjectivity
'- comfortable and look great : - ),POS,comfortable,,0
'- comfortable and look great : - ),POS,great,,0
"! Ballet Pink is really PINKand I have only hand washed these tights once , so Im not sure how long they will kept their firm shape .",POS,,Ballet,1
"! Ballet Pink is really PINKand I have only hand washed these tights once , so Im not sure how long they will kept their firm shape .",POS,,Pink,1
% xl was at best 3xl on the small side..,NEG,small,3xl,0
% xl was at best 3xl on the small side..,POS,best,xl,0
"( Also show off my muscles well , and some dance tights are too thick to do so ) .",NEG,thick,dance,0
"( Also show off my muscles well , and some dance tights are too thick to do so ) .",NEG,thick,tights,0
"( Also show off my muscles well , and some dance tights are too thick to do so ) .",NEG,too,dance,0
"( Also show off my muscles well , and some dance tights are too thick to do so ) .",NEG,too,tights,0
"( Also show off my muscles well , and some dance tights are too thick to do so ) .",POS,well,,0
( It 's easier for me as an Amazon Prime customer to buy two and return one -- avoid the re-stocking fee ) .I 'm glad I finally broke down and bought a real deal dancing shoe like this .,POS,,shoe,1
**Update to this review- still wearing this watch daily over 2 years later ( now September 2012 ) and it still looks great and works great .,POS,,watch,1
**Update to this review- still wearing this watch daily over 2 years later ( now September 2012 ) and it still looks great and works great .,POS,Great,watch,0
: ( And they do n't come any larger .,NEG,,they,1
: ( Great quality otherwise !,POS,Great,quality,0
1 not what I expected .,NEG,,,1
12-yr-old ballet student loves these .,POS,loves,,0
4 stars bcs we love the quality of capezio tights .,POS,love,quality,0
"4th pair , excellant quality , more to come .",POS,,,1
"4th pair , excellant quality , more to come .",POS,excellant,quality,0
"A good light sweat shirt , washes and wears well .",POS,good,shirt,0
"A good light sweat shirt , washes and wears well .",POS,good,sweat,0
"A good light sweat shirt , washes and wears well .",POS,light,shirt,0
"A good light sweat shirt , washes and wears well .",POS,light,sweat,0
"A good light sweat shirt , washes and wears well .",POS,well,shirt,0
"A good light sweat shirt , washes and wears well .",POS,well,sweat,0
A great price and very good quality . extremely soft .,POS,extremely,,0
A great price and very good quality . extremely soft .,POS,good,quality,0
A great price and very good quality . extremely soft .,POS,great,price,0
A great price and very good quality . extremely soft .,POS,soft,,0
