sentence,aspect,sentiment,subjectivity
"boot time is super fast, around anywhere from 35 seconds to 1 minute.",boot time,positive,0
set up was easy.,set up,positive,0
"other than not being a fan of click pads (industry standard these days) and the lousy internal speakers, it's hard for me to find things about this notebook i don't like, especially considering the $350 price tag.",price tag,positive,0
"it's fast, light, and simple to use.",use,positive,0
"works well, and i am extremely happy to be back to an apple os.",works,positive,0
"works well, and i am extremely happy to be back to an apple os.",apple os,positive,0
sure it's not light and slim but the features make up for it 100%.,features,positive,0
"i am pleased with the fast log on, speedy wifi connection and the long battery life (>6 hrs).",log on,positive,0
"i am pleased with the fast log on, speedy wifi connection and the long battery life (>6 hrs).",wifi connection,positive,0
"i am pleased with the fast log on, speedy wifi connection and the long battery life (>6 hrs).",battery life,positive,0
"luckily, for all of us contemplating the decision, the mac mini is priced just right.",priced,positive,0
"super light, super sexy and everything just works.",works,positive,0
it is super fast and has outstanding graphics.,graphics,positive,0
strong build though which really adds to its durability.,durability,positive,0
strong build though which really adds to its durability.,build,positive,0
the battery life is excellent- 6-7 hours without charging.,battery life,positive,0
i've had my computer for 2 weeks already and it works perfectly.,works,positive,0
and i may be the only one but i am really liking windows 8.,windows 8,positive,0
the baterry is very longer.,baterry,positive,0
its size is ideal and the weight is acceptable.,size,positive,0
its size is ideal and the weight is acceptable.,weight,positive,0
i can say that i am fully satisfied with the performance that the computer has supplied.,performance,positive,0
it has so much more speed and the screen is very sharp.,speed,positive,0
it has so much more speed and the screen is very sharp.,screen,positive,0
everything i wanted and everything i needed and the price was great!,price,positive,0
it's not inexpensive but the hardware performance is impressive for a computer this small.,hardware performance,positive,0
"this thing is awesome, everything always works, everything is always easy to set up, everything is compatible, its literally everything i could ask for.",works,positive,0
"this thing is awesome, everything always works, everything is always easy to set up, everything is compatible, its literally everything i could ask for.",set up,positive,0
keyboard responds well to presses.,keyboard,positive,0
everything is so easy and intuitive to setup or configure.,setup,positive,0
everything is so easy and intuitive to setup or configure.,configure,positive,0
it has all the expected features and more +plus a wide screen and more than roomy keyboard.,features,positive,0
it has all the expected features and more +plus a wide screen and more than roomy keyboard.,screen,positive,0
it has all the expected features and more +plus a wide screen and more than roomy keyboard.,keyboard,positive,0
amazing performance for anything i throw at it.,performance,positive,0
the receiver was full of superlatives for the quality and performance.,quality,positive,0
the receiver was full of superlatives for the quality and performance.,performance,positive,0
i was extremely happy with the os itself.,os,positive,0
the new mbp offers great portability and gives us confidence that we are not going to need to purchase a new laptop in 18 months.,portability,positive,0
"the criticism has waned, and now i'd be the first to recommend an air for truly portable computing.",portable computing,positive,0
"ms office 2011 for mac is wonderful, well worth it.",ms office 2011 for mac,positive,0
they don't just look good; they deliver excellent performance.,look,positive,0
they don't just look good; they deliver excellent performance.,performance,positive,0
i have had it over a year now with out a glitch of any kind..i love the lit up keys and screen display...this thing is fast and clear as can be.,lit up keys,positive,0
i have had it over a year now with out a glitch of any kind..i love the lit up keys and screen display...this thing is fast and clear as can be.,screen display,positive,0
the mountain lion os is not hard to figure out if you are familiar with microsoft windows.,mountain lion os,positive,0
enjoy using microsoft office!,microsoft office,positive,0
incredible graphics and brilliant colors.,graphics,positive,0
incredible graphics and brilliant colors.,colors,positive,0
built-in apps are purely amazing.,built-in apps,positive,0
from the speed to the multi touch gestures this operating system beats windows easily.,operating system,positive,0
from the speed to the multi touch gestures this operating system beats windows easily.,speed,positive,0
from the speed to the multi touch gestures this operating system beats windows easily.,multi touch gestures,positive,0
i really like the size and i'm a fan of the acers.,size,positive,0
"i opted for the squaretrade 3-year computer accidental protection warranty ($1500-2000) which also support ""accidents"" like drops and spills that are not covered by applecare.",squaretrade 3-year computer accidental protection warranty,positive,0
it's light and easy to transport.,transport,positive,0
the reason why i choose apple macbook because of their design and the aluminum casing.,design,positive,0
the reason why i choose apple macbook because of their design and the aluminum casing.,aluminum casing,positive,0
the aluminum body sure makes it stand out.,aluminum body,positive,0
"it is very easy to integrate bluetooth devices, and usb devices are recognized almost instantly.",integrate bluetooth devices,positive,0
"it is very easy to integrate bluetooth devices, and usb devices are recognized almost instantly.",usb devices,positive,0
the durability of the laptop will make it worth the money.,durability,positive,0
well designed and fast.,designed,positive,0
"but i was completely wrong, this computer is unbelievable amazing and easy to use.",use,positive,0
exactly as posted plus a great value.,value,positive,0
the specs are pretty good too.,specs,positive,0
