raw_words,sentiment,aspect,opinion,subjectivity
!,POS,,,0
! I am definitely recommending this to others and going again myself ... got ta be careful though ...,POS,,definitely recommending,0
! I love this place so much !,POS,place,love,0
! I would definitely suggest the Chuggin ' Monkey to anyone looking for some goofy laughs ! !,POS,Chuggin ' Monkey,definitely suggest,0
"! Starting with a month old tuna , not appetizing at allAnd finishing up with undercooked chicken !",NEG,chicken,undercooked,0
"! Starting with a month old tuna , not appetizing at allAnd finishing up with undercooked chicken !",NEG,tuna,not appetizing,0
"! Sure , its not the best sushi I 've ever had in my life ( but I 've also been spoiled by sushi experiences after living in Asia ) , but it 's pretty damn good .",POS,sushi,"pretty damn good, best",0
! The drinks were strong and the service was good .,POS,drinks,strong,0
! The drinks were strong and the service was good .,POS,service,good,0
! the tandoori chicken was bland bland bland and the naan tasted of yeast and yeast only .,NEG,naan,,0
! the tandoori chicken was bland bland bland and the naan tasted of yeast and yeast only .,NEG,tandoori chicken,"bland, bland, bland",0
"( 13 years old ) this restaurant has an awful line , but the burgers are amazing plain or everything .",NEG,line,awful,0
"( 13 years old ) this restaurant has an awful line , but the burgers are amazing plain or everything .",POS,burgers,amazing plain,0
( A little dry ) .,NEG,,A little dry,0
( Staff were really friendly and welcoming though ),POS,Staff,"welcoming, really friendly",0
"( There are not enough places to sit outside and eat in this town , so I appreciate being able to savor my meals at Parish .",POS,,appreciate,0
"( fyi- we never received the wine we ordered , though they did try to charge us for it ) .",NEG,,,0
( no I do not have the highest opinion of their food ) .Also had a small house salad with ginger dressing .,NEU,food,,1
"( they close lunch at 2:30 and reopen at like 4pm for dinner ) Egg drop soup pretty good , fried rice was overcooked and no vegetables in it , honestly might be worst ive tasted at a restaurant .",NEG,fried rice,"overcooked, might be worst",0
"( they close lunch at 2:30 and reopen at like 4pm for dinner ) Egg drop soup pretty good , fried rice was overcooked and no vegetables in it , honestly might be worst ive tasted at a restaurant .",POS,Egg drop soup,pretty good,0
( warning it doesnt reheat well ) They have pictures of about everything on the menu and/or a mounted TV with a slide how of the dishes on the wall .,NEG,,doesnt reheat well,0
") , and the food isn't too oily and feels clean .",POS,food,"clean, isn't too oily",0
") , but they surprised us with a good sampling of around a dozen dishes , including a well-seasoned ( and somehow still moist ) doro wat .",POS,doro wat,"surprised, well-seasoned",0
") , mussels , and split the lobster roll ( that 's if you 're dining for 2 people - share everything ) . Service here is stellar !",POS,Service,is,0
") , which only enhanced the outrageously delicious meal prepared for me .",POS,meal,outrageously delicious,0
) .There isnt really anything inherently wrong with the food ... it 's just that the flavor and quality are kind of underwhelming .,NEU,food,,1
) I 'm looking forward to trying the other bowls and tacos on the menu .,POS,other bowls,,0
) I 'm looking forward to trying the other bowls and tacos on the menu .,POS,tacos,,0
") I expected more , and was somewhat disappointed .",NEG,,somewhat disappointed,0
") I think I will try something with sausage and eggs next time , 'cos it seemed like everyone else 's breakfast looked way better than mine .",POS,eggs,try,0
") I think I will try something with sausage and eggs next time , 'cos it seemed like everyone else 's breakfast looked way better than mine .",POS,sausage,try,0
* If there is one thing I could change about the place is the parking .,NEG,parking,,0
+ 0.002Hella-pricey guacamole : damnit !,NEG,guacamole,0.002Hella-pricey,0
"+ 0.012Staff : happy , friendly , accommodating and accurate !",POS,0.012Staff,"accommodating, accurate, friendly, happy",0
"+ 0.021Free refills : present , but few points .",NEG,0.021Free,,0
"+ 0.181Cleanliness : I didn't notice , so that 's a good sign .",POS,0.181Cleanliness,good,0
"+0.308 ! Seating : indoors is fine , but hey also have an outdoor-ish seating area , open on one side and full of great light and very airy , while still providing shelter from some of those pesky elements .",POS,indoors,fine,0
"+0.308 ! Seating : indoors is fine , but hey also have an outdoor-ish seating area , open on one side and full of great light and very airy , while still providing shelter from some of those pesky elements .",POS,outdoor-ish seating area,"very airy, NULL, full of great light",0
", its so relaxed , friendly and the calamari is fantastic = crispy and perfectly spiced with tons of yummy tentacles a 10 : )",POS,,"so relaxed, friendly",0
", its so relaxed , friendly and the calamari is fantastic = crispy and perfectly spiced with tons of yummy tentacles a 10 : )",POS,calamari,"crispy, fantastic, perfectly",0
", its so relaxed , friendly and the calamari is fantastic = crispy and perfectly spiced with tons of yummy tentacles a 10 : )",POS,tentacles,yummy,0
"- 0.071ICE-COLD cheese and salsa or something that sent me looking for a microwave : -0.091Final score : ... what , you added all that up ?",NEG,cheese,0.071ICE-COLD,0
"- 0.071ICE-COLD cheese and salsa or something that sent me looking for a microwave : -0.091Final score : ... what , you added all that up ?",NEG,salsa,0.071ICE-COLD,0
- as the attendant said.The prices are high-ish ( I do n't usually pay $ 9 on one chocolate bar ! ),NEG,prices,high-ish,0
