raw_words,sentiment,aspect,opinion,subjectivity
( A little shocked by some of the errors in editing ) - but that did not spoil my overall enjoyment of the story itself .,NEG,errors in editing,shocked,0
( A little shocked by some of the errors in editing ) - but that did not spoil my overall enjoyment of the story itself .,POS,story,enjoyment,0
( I love Jonathan Kellerman 's books too . ),POS,Jonathan Kellerman 's books,love,0
"( Okay , except for somewhat heavy reading for laymen about genetics in the middle . )",NEG,,heavy,0
( The book is better ) It 's a thick book that combines the story of a patient of the author and a readable account of how cancer was recognized and the research that has led to revolutionary treatments .,POS,book,better,0
( this was really at odds with her personality in the book ) . Confusing and just plain awful to read .,NEG,,"just plain awful, Confusing",0
") , but I did n't mind as much because the characters were so likeable and the plot so interesting .",NEU,,did n't mind as much,0
") , but I did n't mind as much because the characters were so likeable and the plot so interesting .",POS,characters,so likeable,0
") , but I did n't mind as much because the characters were so likeable and the plot so interesting .",POS,plot,so interesting,0
") , seemed to have realised that he had gone too far in Flesh House , and the violence had been toned down .",NEG,Flesh House,,1
") As one might expect of a book that covers so much ground , its not thin .",NEU,book,not thin,0
") As one might expect of a book that covers so much ground , its not thin .",POS,book,,1
") I enjoyed this book completely I enjoyed the trials Nevarre went through I was sad , angry , and happy at all the times the author was hoping I would be .",POS,book,enjoyed,0
") I enjoyed this book completely I enjoyed the trials Nevarre went through I was sad , angry , and happy at all the times the author was hoping I would be .",POS,trials,enjoyed,0
) I would definitely recommend this book and the series .,POS,book,definitely recommend,0
) I would definitely recommend this book and the series .,POS,series,definitely recommend,0
) This book gives a thorough and well-written background of how we got to where we are today .,POS,book,"well-written, thorough",0
* More humanizing characteristics and quotations .,POS,characteristics,More humanizing,0
* More humanizing characteristics and quotations .,POS,quotations,More humanizing,0
"***End Slight Spoiler***For a wrap up , I am giving this book 4 stars because no matter how happy I was with the ending , the slow pace of the first 2/3 of the book destroys any hope of 5 star rating .",NEG,pace,destroys,0
"***End Slight Spoiler***For a wrap up , I am giving this book 4 stars because no matter how happy I was with the ending , the slow pace of the first 2/3 of the book destroys any hope of 5 star rating .",POS,book,,1
"**Everything you want to know about cancer , and then some .",POS,,,1
"**I am pleased that Dr. Mukherjee has won the Pulitzer prize in general non fiction for this book , 4-18-11In the United States one in three women and one in two men will develop cancer in their lifetime .",POS,book,pleased,0
"... it wasn't anywhere near the best book of this series.For starters , the person who wrote the plot synopsis on the book jacket ( and in the Amazon listing ) apparently didn't read the book .",NEG,book,best,0
100 stars !,POS,,,1
: I regularly recommend Ms. Lackberg 's novels for those either new to Nordic Noir and need a gentle introduction or fans of authors such as Lisa Gardner .,POS,Ms. Lackberg 's novels,regularly recommend,0
"A beautifully written , fascinating , well researched , and , ultimately , sobering look at cancer .",POS,sobering,"beautifully, well, ultimately, fascinating",0
A big fan of Camilla 's .,POS,Camilla,big fan,0
A bit difficult in the beginning to follow the parallel stories butgot better worth finishing .,NEG,stories,,1
A bit difficult in the beginning to follow the parallel stories butgot better worth finishing .,POS,stories,better worth,0
A book from one of the best Swedish mystery novelists .,POS,book,best,0
A book that keeps you interested and thirsty for more .,POS,book,,1
A book written by Mr. Burrell who worked for Diana and who obviously adored here so I take everything with that thought in mind ... .she was not an angel ...,POS,book,,1
A contemporary classic .,POS,classic,,1
"A couple times the wrong word is used ( I mean you no hard instead of harm , I never told anyhow else instead of anyone . ) .",NEG,wrong word,,1
A crashing plane is hardly making a triumphant farewell ; it is simply .,NEG,,simply,0
"A culture which is based on greed and obesity and gluttony -- well , I can't imagine what Robin was thinking .",NEG,,,1
A decent book .,POS,book,decent,0
A definite must read !,POS,,,1
"A fairly good plot , some very good historical information , but with very cookie cutter characters - the hero who gets in and out of trouble repeatedly , the villains who are after the hero but continue to miss their opportunity to put an end to him , the sidekick who helps the hero out of several jams , and in this case unlike some others in this space , a rather weak female lead.Descriptions of the sites are done very well and at a good level of detail , putting you right there with the characters .",NEG,characters,very cookie cutter,0
"A fairly good plot , some very good historical information , but with very cookie cutter characters - the hero who gets in and out of trouble repeatedly , the villains who are after the hero but continue to miss their opportunity to put an end to him , the sidekick who helps the hero out of several jams , and in this case unlike some others in this space , a rather weak female lead.Descriptions of the sites are done very well and at a good level of detail , putting you right there with the characters .",POS,historical information,very good,0
"A fairly good plot , some very good historical information , but with very cookie cutter characters - the hero who gets in and out of trouble repeatedly , the villains who are after the hero but continue to miss their opportunity to put an end to him , the sidekick who helps the hero out of several jams , and in this case unlike some others in this space , a rather weak female lead.Descriptions of the sites are done very well and at a good level of detail , putting you right there with the characters .",POS,lead.Descriptions,"very well, NULL",0
"A fairly good plot , some very good historical information , but with very cookie cutter characters - the hero who gets in and out of trouble repeatedly , the villains who are after the hero but continue to miss their opportunity to put an end to him , the sidekick who helps the hero out of several jams , and in this case unlike some others in this space , a rather weak female lead.Descriptions of the sites are done very well and at a good level of detail , putting you right there with the characters .",POS,plot,fairly good,0
A fantastic conclusion to one of the top trilogies in recent memory .,POS,conclusion,fantastic,0
A fantastic history of cancer and its treatment .,POS,history of cancer and its treatment,fantastic,0
"A fascinating , epic study of the malady that has stalked humankind from the beginning of civilization .",POS,study,"epic, fascinating",0
A fascinating and absorbing story of an epic and ongoing battle .,POS,story,"absorbing, fascinating, epic",0
A fascinating and well written history of cancer in all of its forms .,POS,history,"well, fascinating",0
"A fascinating look into the history of cancer and the heroics , politics , blindness and pettiness of science .",POS,,fascinating,0
"A few gaffes here and there , and one thing that bothers me is how Pug 's relationship with previously close family like Tad and Zane is all but gone in these books .",NEG,,"bothers, gaffes",0
A few situations are old school but I would be disappointed if he changed his style altogether .,NEG,situations,old school,0
A fitting memorial for those who loved her .,POS,memorial,fitting,0
A friend gave me The Ice Princess and I loved it !,POS,The Ice Princess,loved,0
A gift to the world .,POS,gift,,1
A good bridge the third book .,POS,book,good,0
"A good mystery - hard to go so far back to find connections and began to seemdisjointed , but it all came together very well .",NEG,,,1
"A good mystery - hard to go so far back to find connections and began to seemdisjointed , but it all came together very well .",POS,,very well,0
"A good mystery - hard to go so far back to find connections and began to seemdisjointed , but it all came together very well .",POS,mystery,good,0
A good mystery -- maybe .,NEU,mystery,,1
A good read .,POS,read,good,0
"A good read and it really takes you right into the story , so you just want to keep on reading to find out what is going to happen next .",POS,read,"good, NULL",0
"A good read to relax , even though Erica , the main female character is a bit boring .",NEG,main female character,a bit boring,0
"A good read to relax , even though Erica , the main female character is a bit boring .",POS,read,good,0
A good story which kept me guessing until near the end .,POS,story,good,0
A great history of the worst disease imagineable .,POS,history,great,0
"A great intro to numbers , colors , sharing and cleaning .",POS,intro,great,0
A great introduction and overview of the complexity of the disease wecall cancer .,POS,introduction,great,0
A great introduction and overview of the complexity of the disease wecall cancer .,POS,overview,great,0
A great read !,POS,read,great,0
"A great read for armchair travelers , history buffs , and adventure buffs .",POS,read,great,0
A great read for newcomers to the world of oncology or just the generally curious .,POS,read,great,0
A great read that brought a tear to my eye and a few angry moments too !,POS,read,great,0
A great way get a perspective of how we got to where we are with Cancer treatment .,POS,way,great,0
"A heartbreaking story about a child 's gradual revelation about her extreme sexual abuse , and how the foster system is sometimes the best thing possible .",NEG,sexual abuse,extreme,0
