sentence,sentiment,opinion,aspect,subjectivity
"'- 3 months after purchase , the chromebook has issues with the screen flickering constantly and has been sent in to asus for repairs",NEG,,chromebook,1
"'- 3 months after purchase , the chromebook has issues with the screen flickering constantly and has been sent in to asus for repairs",NEG,,screen,1
'- 360 degrees flipping is actually pretty practical,POS,practical,360,0
'- 360 degrees flipping is actually pretty practical,POS,practical,degrees,0
'- 360 degrees flipping is actually pretty practical,POS,practical,flipping,0
'- 4gb ram cap .,NEU,,ram,1
"'- although the screen is nice , the screen ratio is not optimal when using it as a tablet .",NEG,not,ratio,0
"'- although the screen is nice , the screen ratio is not optimal when using it as a tablet .",NEG,not,screen,0
"'- although the screen is nice , the screen ratio is not optimal when using it as a tablet .",NEG,optimal,ratio,0
"'- although the screen is nice , the screen ratio is not optimal when using it as a tablet .",NEG,optimal,screen,0
"'- although the screen is nice , the screen ratio is not optimal when using it as a tablet .",POS,nice,screen,0
'- an optical drive if you ever want to play a classic game or watch a dvd .,NEU,,drive,1
'- an optical drive if you ever want to play a classic game or watch a dvd .,NEU,,optical,1
'- android apps and google play store are real game changers for the chromeos landscape .,POS,,google,1
'- android apps and google play store are real game changers for the chromeos landscape .,POS,,play,1
'- android apps and google play store are real game changers for the chromeos landscape .,POS,,store,1
"'- android apps work rather well , even if not perfectly yet .",POS,not,android,0
"'- android apps work rather well , even if not perfectly yet .",POS,not,apps,0
"'- android apps work rather well , even if not perfectly yet .",POS,perfectly,android,0
"'- android apps work rather well , even if not perfectly yet .",POS,perfectly,apps,0
"'- android apps work rather well , even if not perfectly yet .",POS,well,android,0
"'- android apps work rather well , even if not perfectly yet .",POS,well,apps,0
"'- android support is only in beta mode as of february 5 , 2017 .",NEG,,android,1
"'- android support is only in beta mode as of february 5 , 2017 .",NEG,,support,1
"'- as others have mentioned , the keyboard backlight turns off after just a few seconds of not typing , which can be annoying and there doesn ' t seem to be a way to change this .",NEG,annoying,backlight,0
"'- as others have mentioned , the keyboard backlight turns off after just a few seconds of not typing , which can be annoying and there doesn ' t seem to be a way to change this .",NEG,annoying,keyboard,0
'- backlit and solid keyboard ( not flimsy or cheap ),POS,cheap,keyboard,0
'- backlit and solid keyboard ( not flimsy or cheap ),POS,flimsy,keyboard,0
