sentence,sentiment,opinion,aspect,subjectivity
( A little shocked by some of the errors in editing ) - but that did not spoil my overall enjoyment of the story itself .,NEG,shocked,editing,0
( A little shocked by some of the errors in editing ) - but that did not spoil my overall enjoyment of the story itself .,NEG,shocked,errors,0
( A little shocked by some of the errors in editing ) - but that did not spoil my overall enjoyment of the story itself .,NEG,shocked,in,0
( A little shocked by some of the errors in editing ) - but that did not spoil my overall enjoyment of the story itself .,POS,enjoyment,story,0
( I love Jonathan Kellerman 's books too . ),POS,love,books,0
( I love Jonathan Kellerman 's books too . ),POS,love,Jonathan,0
( I love Jonathan Kellerman 's books too . ),POS,love,Kellerman,0
( I love Jonathan Kellerman 's books too . ),POS,love,'s,0
"( Okay , except for somewhat heavy reading for laymen about genetics in the middle . )",NEG,heavy,,0
( The book is better ) It 's a thick book that combines the story of a patient of the author and a readable account of how cancer was recognized and the research that has led to revolutionary treatments .,POS,better,book,0
( this was really at odds with her personality in the book ) . Confusing and just plain awful to read .,NEG,awful,,0
( this was really at odds with her personality in the book ) . Confusing and just plain awful to read .,NEG,Confusing,,0
( this was really at odds with her personality in the book ) . Confusing and just plain awful to read .,NEG,just,,0
( this was really at odds with her personality in the book ) . Confusing and just plain awful to read .,NEG,plain,,0
") , but I did n't mind as much because the characters were so likeable and the plot so interesting .",NEU,as,,0
") , but I did n't mind as much because the characters were so likeable and the plot so interesting .",NEU,did,,0
") , but I did n't mind as much because the characters were so likeable and the plot so interesting .",NEU,mind,,0
") , but I did n't mind as much because the characters were so likeable and the plot so interesting .",NEU,much,,0
") , but I did n't mind as much because the characters were so likeable and the plot so interesting .",NEU,n't,,0
") , but I did n't mind as much because the characters were so likeable and the plot so interesting .",POS,interesting,plot,0
") , but I did n't mind as much because the characters were so likeable and the plot so interesting .",POS,likeable,characters,0
") , but I did n't mind as much because the characters were so likeable and the plot so interesting .",POS,so,characters,0
") , but I did n't mind as much because the characters were so likeable and the plot so interesting .",POS,so,plot,0
") , seemed to have realised that he had gone too far in Flesh House , and the violence had been toned down .",NEG,,Flesh,1
") , seemed to have realised that he had gone too far in Flesh House , and the violence had been toned down .",NEG,,HOUSE,1
") As one might expect of a book that covers so much ground , its not thin .",POS,,book,1
") As one might expect of a book that covers so much ground , its not thin .",NEU,not,book,0
") As one might expect of a book that covers so much ground , its not thin .",NEU,thin,book,0
") I enjoyed this book completely I enjoyed the trials Nevarre went through I was sad , angry , and happy at all the times the author was hoping I would be .",POS,enjoyed,book,0
") I enjoyed this book completely I enjoyed the trials Nevarre went through I was sad , angry , and happy at all the times the author was hoping I would be .",POS,enjoyed,trials,0
) I would definitely recommend this book and the series .,POS,definitely,book,0
) I would definitely recommend this book and the series .,POS,definitely,series,0
) I would definitely recommend this book and the series .,POS,recommend,book,0
) I would definitely recommend this book and the series .,POS,recommend,series,0
) This book gives a thorough and well-written background of how we got to where we are today .,POS,thorough,book,0
) This book gives a thorough and well-written background of how we got to where we are today .,POS,well-written,book,0
* More humanizing characteristics and quotations .,POS,humanizing,characteristics,0
* More humanizing characteristics and quotations .,POS,humanizing,quotations,0
* More humanizing characteristics and quotations .,POS,more,characteristics,0
* More humanizing characteristics and quotations .,POS,more,quotations,0
"***End Slight Spoiler***For a wrap up , I am giving this book 4 stars because no matter how happy I was with the ending , the slow pace of the first 2/3 of the book destroys any hope of 5 star rating .",POS,,book,1
"***End Slight Spoiler***For a wrap up , I am giving this book 4 stars because no matter how happy I was with the ending , the slow pace of the first 2/3 of the book destroys any hope of 5 star rating .",NEG,destroys,pace,0
"**Everything you want to know about cancer , and then some .",POS,,,1
"**I am pleased that Dr. Mukherjee has won the Pulitzer prize in general non fiction for this book , 4-18-11In the United States one in three women and one in two men will develop cancer in their lifetime .",POS,pleased,book,0
"... it wasn't anywhere near the best book of this series.For starters , the person who wrote the plot synopsis on the book jacket ( and in the Amazon listing ) apparently didn't read the book .",NEG,best,book,0
: I regularly recommend Ms. Lackberg 's novels for those either new to Nordic Noir and need a gentle introduction or fans of authors such as Lisa Gardner .,POS,recommend,Lackberg,0
: I regularly recommend Ms. Lackberg 's novels for those either new to Nordic Noir and need a gentle introduction or fans of authors such as Lisa Gardner .,POS,recommend,Ms.,0
: I regularly recommend Ms. Lackberg 's novels for those either new to Nordic Noir and need a gentle introduction or fans of authors such as Lisa Gardner .,POS,recommend,novels,0
: I regularly recommend Ms. Lackberg 's novels for those either new to Nordic Noir and need a gentle introduction or fans of authors such as Lisa Gardner .,POS,recommend,'s,0
: I regularly recommend Ms. Lackberg 's novels for those either new to Nordic Noir and need a gentle introduction or fans of authors such as Lisa Gardner .,POS,regularly,Lackberg,0
: I regularly recommend Ms. Lackberg 's novels for those either new to Nordic Noir and need a gentle introduction or fans of authors such as Lisa Gardner .,POS,regularly,Ms.,0
: I regularly recommend Ms. Lackberg 's novels for those either new to Nordic Noir and need a gentle introduction or fans of authors such as Lisa Gardner .,POS,regularly,novels,0
