raw_words,sentiment,aspect,opinion,subjectivity
! I gave it out,NEG,,,1
"# 1 screen repair is not covered under warranty , disappointing .",NEG,screen repair,disappointing,0
"# 2 The facility in Alpharetta , GA that did our screen repair , ACS Technology Solutions , failed to plug the battery back in after completion rendering the computer non functional when we needed it at college .",NEG,ACS Technology Solutions,,1
#NAME?,NEG,chromebook,expensive,0
#NAME?,NEG,delete key,,1
#NAME?,NEG,trackpad,finicky,0
#NAME?,NEG,ui elements,not user - friendly,0
#NAME?,NEU,cd / dvd reader,,1
#NAME?,NEU,dvd drive,,1
#NAME?,NEU,retina display,nice,0
#NAME?,NEU,system settings,"better, robust",0
#NAME?,POS,,"NULL, lite, thin, NULL",0
#NAME?,POS,aluminium case,"premium, solid",0
#NAME?,POS,backlit keyboard,,1
#NAME?,POS,battery life,"good, excellent",0
#NAME?,POS,build quality,excellent,0
#NAME?,POS,chromebook,love,0
#NAME?,POS,colour,beautiful,0
#NAME?,POS,cpu,"fast, great",0
#NAME?,POS,fingerprint reader,well,0
#NAME?,POS,fingerprint sensor,accurate,0
#NAME?,POS,keyboard,"excellent, solid, not flimsy or cheap, exceptional, comfortable",0
#NAME?,POS,laptop,"sleek, sexy",0
#NAME?,POS,lid,"nice, sleek",0
#NAME?,POS,pc performance,,1
#NAME?,POS,ports,"available, decent, generous",0
#NAME?,POS,ram,"upgradeable, good",0
#NAME?,POS,screen,"sharp, glossy, great, high",0
#NAME?,POS,side buttons,"responsive, well - made",0
#NAME?,POS,touch screen,accurate,0
#NAME?,POS,touchpad,exceptional,0
#NAME?,POS,touchscreen,"fine, responsive, fast",0
#NAME?,POS,touchscreen chromebook,great,0
#NAME?,POS,track pad,accurate,0
"$ 100 discount , good deal love the product , my 3rd Mac Book in 4 years .",POS,Mac Book,,1
"' what a bunch of whiners , ' i concluded about all the people who slammed the keyboard .",NEG,keyboard,,1
"( * cough ' quizlet ' cough * ) i use this hooked up to my mobile hotspot from my cell phone mainly , and it allows me access anywhere i have cell service .",POS,it,,1
( Did see one dead pixel the other day though . ),NEG,,,1
( Excellent amazon customer service btw ),POS,amazon customer service,Excellent,0
( coughlenovocough ) this is a beast .,POS,,beast,0
"( good ) as for the laptop ( when it worked , and i mean for the whole 30 minutes ) it was extremely fast .",POS,laptop,"fast, good",0
( i had to check that the caps lock was off after typing that last word . ),NEG,caps lock,,1
"* * * update * * * this laptop has already bit the dust ; it crashed with a blue screen of death , and then refused to power back on .",NEG,laptop,crashed,0
* * returning the device - - that unhappy with the item .,NEG,device,unhappy,0
* * returning the device - - that unhappy with the item .,NEG,item,unhappy,0
* battery * - battery life is great .,POS,battery,great,0
* battery * - battery life is great .,POS,battery life,great,0
"* battery - i can not really speak to the battery life yet , but as a power user with lots of tabs and several apps open , it is giving me a days use 5 + hours of use so far .",POS,,,1
"* battery - i can not really speak to the battery life yet , but as a power user with lots of tabs and several apps open , it is giving me a days use 5 + hours of use so far .",POS,battery life,,1
* build quality * - i ' m really pleased with the overall quality .,POS,,pleased,0
* build quality * - i ' m really pleased with the overall quality .,POS,build quality,pleased,0
* decent selection of ports for its size,POS,ports,decent,0
"* excellent form factor , extremely portable while remaining a serious pro computer",POS,pro computer,"portable, excellent",0
* incredible display,POS,display,incredible,0
* keyboard * - the keyboard is alright .,NEU,,alright,0
"* love * the feel and look of it , no complaints at all , samsung chromebooks are amazing !",POS,samsung chromebooks,"love, amazing, no complaints",0
"* the screen is more than adequate for me , although i have not used it outside much yet .",POS,screen,,1
"* the usb - c ports are working well , and i bought a multiple port adapter , which gives me a regular usb port along with a hdmi port an another usb - c port for charging .",POS,usb - c ports,well,0
* track pad * - the trackpad is well done .,POS,track pad,well,0
* track pad * - the trackpad is well done .,POS,trackpad,well,0
* very good battery life,POS,battery life,good,0
* very weak wifi reception from the built - in antenna .,NEG,wifi,weak,0
+ backlight kb and travel feels pretty nice on the keys .,POS,backlight kb,nice,0
+ backlight kb and travel feels pretty nice on the keys .,POS,keys,nice,0
+ decent full hd screen ( might be the ' crappiest ' thing on it and it is still good for the price ),POS,,good,0
+ decent full hd screen ( might be the ' crappiest ' thing on it and it is still good for the price ),POS,hd screen,decent,0
+ play store compatibility is available now .,POS,play store,available,0
", as it doesn ' t have large built in memory .",NEG,memory,,1
", the advertised ram is 16gb and in the answer questions section has answers from the manufacturer saying ` ` this will have 16gb of memory ! ` `",NEG,ram,16gb,0
"- 3 months after purchase , the chromebook has issues with the screen flickering constantly and has been sent in to asus for repairs",NEG,chromebook,,1
"- 3 months after purchase , the chromebook has issues with the screen flickering constantly and has been sent in to asus for repairs",NEG,screen,,1
- 360 degrees flipping is actually pretty practical,POS,360 degrees flipping,practical,0
- 4gb ram cap .,NEU,ram,,1
- It is very lightweight and easy to carry around .,POS,,"easy, lightweight",0
- The user experience is excellent .,POS,,excellent,0
"- although the screen is nice , the screen ratio is not optimal when using it as a tablet .",NEG,screen ratio,not optimal,0
"- although the screen is nice , the screen ratio is not optimal when using it as a tablet .",POS,screen,nice,0
- an optical drive if you ever want to play a classic game or watch a dvd .,NEU,optical drive,,1
- android apps and google play store are real game changers for the chromeos landscape .,POS,google play store,,1
"- android apps work rather well , even if not perfectly yet .",POS,android apps,"not perfectly, well",0
"- android support is only in beta mode as of february 5 , 2017 .",NEG,android support,,1
"- as others have mentioned , the keyboard backlight turns off after just a few seconds of not typing , which can be annoying and there doesn ' t seem to be a way to change this .",NEG,keyboard backlight,annoying,0
