sentence,aspect,sentiment,subjectivity
food is always fresh and hot- ready to eat!,food,positive,0
"i love the drinks, esp lychee martini, and the food is also very good.",food,positive,0
"once we sailed, the top-notch food and live entertainment sold us on a unforgettable evening.",food,positive,0
great food but the service was dreadful!,food,positive,0
"the food was extremely tasty, creatively presented and the wine excellent.",food,positive,0
i definitely enjoyed the food as well.,food,positive,0
"it was pleasantly uncrowded, the service was delightful, the garden adorable, the food (from appetizers to entrees) was delectable.",food,positive,0
"the food is surprisingly good, and the decor is nice.",food,positive,0
had a great experience at trio ... staff was pleasant; food was tasty and large in portion size - i would highly recommend the portobello/gorgonzola/sausage appetizer and the lobster risotto.,food,positive,0
"the food is good, the teriyaki i recommend.",food,positive,0
"good food at the right price, what more can you ask for.",food,positive,0
"the food is top notch, the service is attentive, and the atmosphere is great.",food,positive,0
"great food, great waitstaff, great atmosphere, and best of all great beer!",food,positive,0
this is still one of my most favorite restaurants in the area the food is inexpensive but very good (kimono shrimp special was excellent) and has a great atmosphere.,food,positive,0
the food was delicious and clearly fresh ingredients were used.,food,positive,0
the food is great and the milkshakes are even better!,food,positive,0
"i'm glad i did as the food was very good and the staff was friendly, courteous and efficient.",food,positive,0
"while it was large and a bit noisy, the drinks were fantastic, and the food was superb.",food,positive,0
the food was almost always excellent.,food,positive,0
the food was wonderful and imaginative.,food,positive,0
"the food is great (big selection, reasonable prices) and the drinks are really good.",food,positive,0
"food was decent, but not great.",food,positive,0
it is a hidden delight complete with a quaint bar and good food.,food,positive,0
"yes, they're a bit more expensive then typical, but then again, so is their food.",food,positive,0
the food was very good and i was pleasantly surprised to see so many vegan options.,food,positive,0
"even when the chef is not in the house, the food and service are right on target.",food,positive,0
"we been there and we really enjoy the food, was areally great food, and the service was really good.",food,positive,0
"we been there and we really enjoy the food, was areally great food, and the service was really good.",food,positive,0
but the food was delicious.,food,positive,0
"the food is wonderful, artfully done and simply delicious.",food,positive,0
"what a difference, the service was very comforting and the food was better than average, but what really standed out was such a dynamic and extensive beer list.",food,positive,0
"the food was great - sushi was good, but the cooked food amazed us.",food,positive,0
"great food, great drinks, nice dining atmosphere.",food,positive,0
"this bar has it all - great drinks, cool atmosphere, excellent service and delicious food.",food,positive,0
good food good wine that's it.,food,positive,0
"the food is all-around good, with the rolls usually excellent and the sushi/sashimi not quite on the same level.",food,positive,0
the food is great and the prices are reasonable.,food,positive,0
the food is delicious and highly recommended.,food,positive,0
"the food here was great, a treat from beginning to end.",food,positive,0
"it's just everything...the food, the atmosphere...the incrediby kind and gracious hostess.",food,positive,0
the food is very good and the service is great.,food,positive,0
the food was as creative as the decor and both worked.,food,positive,0
and the food is fantastic.,food,positive,0
we were so happy with our food and were even more thrilled when we saw the bill.,food,positive,0
we've always gotten amazing service and we love the food.,food,positive,0
"the waitstaff is solicitous and friendly and always seems glad to see us, and the food is wonderful, if not stunningly creative.",food,positive,0
the food is so good and so popular that waiting can really be a nightmare.,food,positive,0
even for two very hungry people there is plenty of food left to be taken home (it reheats really well also).,food,positive,0
"it's just good food, nothing more and that's all we want!",food,positive,0
we were very impressed with the food and value.,food,positive,0
the staff greeted me warmly at the door and i was seated promptly and the food was excellent.,food,positive,0
this is literally a hot spot when it comes to the food.,food,positive,0
"the food was definitely good, but when all was said and done, i just couldn't justify it for the price (including 2 drinks, $100/person)...",food,positive,0
"i found the food to be just as good as its owner, da silvano, just much less expensive.",food,positive,0
although i moved uptown i try to stop in as often as possible for the great cheap food and to pay the friendly staff a visit.,food,positive,0
the food is also outstanding and is served quite quickly.,food,positive,0
the food is delicious and the bar has a great vibe.,food,positive,0
simple healthy unglamorous food cheap.,food,positive,0
"to be fair, the food still is good and the service is quick and attentative even though its usually very busy.",food,positive,0
the place is absolutely adorable and the food is delicious.,food,positive,0
