sentence,sentiment,opinion,aspect,subjectivity
"'- 0.071ICE-COLD cheese and salsa or something that sent me looking for a microwave : -0.091Final score : ... what , you added all that up ?",NEG,0.071ICE-COLD,cheese,0
"'- 0.071ICE-COLD cheese and salsa or something that sent me looking for a microwave : -0.091Final score : ... what , you added all that up ?",NEG,0.071ICE-COLD,salsa,0
'- as the attendant said.The prices are high-ish ( I do n't usually pay $ 9 on one chocolate bar ! ),NEG,high-ish,Prices,0
'- toffee brownie with amy 's mexican vanilla ice-cream : this completed our meal very nicely .,POS,nicely,amy,0
'- toffee brownie with amy 's mexican vanilla ice-cream : this completed our meal very nicely .,POS,nicely,brownie,0
'- toffee brownie with amy 's mexican vanilla ice-cream : this completed our meal very nicely .,POS,nicely,ice-cream,0
'- toffee brownie with amy 's mexican vanilla ice-cream : this completed our meal very nicely .,POS,nicely,Mexican,0
'- toffee brownie with amy 's mexican vanilla ice-cream : this completed our meal very nicely .,POS,nicely,'s,0
'- toffee brownie with amy 's mexican vanilla ice-cream : this completed our meal very nicely .,POS,nicely,toffee,0
'- toffee brownie with amy 's mexican vanilla ice-cream : this completed our meal very nicely .,POS,nicely,vanilla,0
'- toffee brownie with amy 's mexican vanilla ice-cream : this completed our meal very nicely .,POS,nicely,with,0
'- toffee brownie with amy 's mexican vanilla ice-cream : this completed our meal very nicely .,POS,very,amy,0
'- toffee brownie with amy 's mexican vanilla ice-cream : this completed our meal very nicely .,POS,very,brownie,0
'- toffee brownie with amy 's mexican vanilla ice-cream : this completed our meal very nicely .,POS,very,ice-cream,0
'- toffee brownie with amy 's mexican vanilla ice-cream : this completed our meal very nicely .,POS,very,Mexican,0
'- toffee brownie with amy 's mexican vanilla ice-cream : this completed our meal very nicely .,POS,very,'s,0
'- toffee brownie with amy 's mexican vanilla ice-cream : this completed our meal very nicely .,POS,very,toffee,0
'- toffee brownie with amy 's mexican vanilla ice-cream : this completed our meal very nicely .,POS,very,vanilla,0
'- toffee brownie with amy 's mexican vanilla ice-cream : this completed our meal very nicely .,POS,very,with,0
!,POS,,,1
! I am definitely recommending this to others and going again myself ... got ta be careful though ...,POS,definitely,,0
! I am definitely recommending this to others and going again myself ... got ta be careful though ...,POS,recommending,,0
! I love this place so much !,POS,love,place,0
! I would definitely suggest the Chuggin ' Monkey to anyone looking for some goofy laughs ! !,POS,definitely,',0
! I would definitely suggest the Chuggin ' Monkey to anyone looking for some goofy laughs ! !,POS,definitely,Chuggin,0
! I would definitely suggest the Chuggin ' Monkey to anyone looking for some goofy laughs ! !,POS,definitely,Monkey,0
! I would definitely suggest the Chuggin ' Monkey to anyone looking for some goofy laughs ! !,POS,suggest,',0
! I would definitely suggest the Chuggin ' Monkey to anyone looking for some goofy laughs ! !,POS,suggest,Chuggin,0
! I would definitely suggest the Chuggin ' Monkey to anyone looking for some goofy laughs ! !,POS,suggest,Monkey,0
"! Starting with a month old tuna , not appetizing at allAnd finishing up with undercooked chicken !",NEG,appetizing,tuna,0
"! Starting with a month old tuna , not appetizing at allAnd finishing up with undercooked chicken !",NEG,not,tuna,0
"! Starting with a month old tuna , not appetizing at allAnd finishing up with undercooked chicken !",NEG,undercooked,chicken,0
"! Sure , its not the best sushi I 've ever had in my life ( but I 've also been spoiled by sushi experiences after living in Asia ) , but it 's pretty damn good .",POS,best,sushi,0
"! Sure , its not the best sushi I 've ever had in my life ( but I 've also been spoiled by sushi experiences after living in Asia ) , but it 's pretty damn good .",POS,damn,sushi,0
"! Sure , its not the best sushi I 've ever had in my life ( but I 've also been spoiled by sushi experiences after living in Asia ) , but it 's pretty damn good .",POS,good,sushi,0
"! Sure , its not the best sushi I 've ever had in my life ( but I 've also been spoiled by sushi experiences after living in Asia ) , but it 's pretty damn good .",POS,pretty,sushi,0
! The drinks were strong and the service was good .,POS,good,service,0
! The drinks were strong and the service was good .,POS,strong,drinks,0
! the tandoori chicken was bland bland bland and the naan tasted of yeast and yeast only .,NEG,,naan,1
! the tandoori chicken was bland bland bland and the naan tasted of yeast and yeast only .,NEG,bland,chicken,0
! the tandoori chicken was bland bland bland and the naan tasted of yeast and yeast only .,NEG,bland,tandoori,0
"( 13 years old ) this restaurant has an awful line , but the burgers are amazing plain or everything .",NEG,awful,line,0
"( 13 years old ) this restaurant has an awful line , but the burgers are amazing plain or everything .",POS,amazing,burgers,0
"( 13 years old ) this restaurant has an awful line , but the burgers are amazing plain or everything .",POS,plain,burgers,0
( A little dry ) .,NEG,a,,0
( A little dry ) .,NEG,dry,,0
( A little dry ) .,NEG,little,,0
"( fyi- we never received the wine we ordered , though they did try to charge us for it ) .",NEG,,,1
( no I do not have the highest opinion of their food ) .Also had a small house salad with ginger dressing .,NEU,,food,1
( Staff were really friendly and welcoming though ),POS,friendly,staff,0
( Staff were really friendly and welcoming though ),POS,really,staff,0
( Staff were really friendly and welcoming though ),POS,welcoming,staff,0
"( There are not enough places to sit outside and eat in this town , so I appreciate being able to savor my meals at Parish .",POS,appreciate,,0
"( they close lunch at 2:30 and reopen at like 4pm for dinner ) Egg drop soup pretty good , fried rice was overcooked and no vegetables in it , honestly might be worst ive tasted at a restaurant .",NEG,be,fried,0
"( they close lunch at 2:30 and reopen at like 4pm for dinner ) Egg drop soup pretty good , fried rice was overcooked and no vegetables in it , honestly might be worst ive tasted at a restaurant .",NEG,be,rice,0
"( they close lunch at 2:30 and reopen at like 4pm for dinner ) Egg drop soup pretty good , fried rice was overcooked and no vegetables in it , honestly might be worst ive tasted at a restaurant .",NEG,might,fried,0
"( they close lunch at 2:30 and reopen at like 4pm for dinner ) Egg drop soup pretty good , fried rice was overcooked and no vegetables in it , honestly might be worst ive tasted at a restaurant .",NEG,might,rice,0
"( they close lunch at 2:30 and reopen at like 4pm for dinner ) Egg drop soup pretty good , fried rice was overcooked and no vegetables in it , honestly might be worst ive tasted at a restaurant .",NEG,overcooked,fried,0
"( they close lunch at 2:30 and reopen at like 4pm for dinner ) Egg drop soup pretty good , fried rice was overcooked and no vegetables in it , honestly might be worst ive tasted at a restaurant .",NEG,overcooked,rice,0
"( they close lunch at 2:30 and reopen at like 4pm for dinner ) Egg drop soup pretty good , fried rice was overcooked and no vegetables in it , honestly might be worst ive tasted at a restaurant .",NEG,worst,fried,0
"( they close lunch at 2:30 and reopen at like 4pm for dinner ) Egg drop soup pretty good , fried rice was overcooked and no vegetables in it , honestly might be worst ive tasted at a restaurant .",NEG,worst,rice,0
"( they close lunch at 2:30 and reopen at like 4pm for dinner ) Egg drop soup pretty good , fried rice was overcooked and no vegetables in it , honestly might be worst ive tasted at a restaurant .",POS,good,drop,0
"( they close lunch at 2:30 and reopen at like 4pm for dinner ) Egg drop soup pretty good , fried rice was overcooked and no vegetables in it , honestly might be worst ive tasted at a restaurant .",POS,good,egg,0
"( they close lunch at 2:30 and reopen at like 4pm for dinner ) Egg drop soup pretty good , fried rice was overcooked and no vegetables in it , honestly might be worst ive tasted at a restaurant .",POS,good,soup,0
"( they close lunch at 2:30 and reopen at like 4pm for dinner ) Egg drop soup pretty good , fried rice was overcooked and no vegetables in it , honestly might be worst ive tasted at a restaurant .",POS,pretty,drop,0
"( they close lunch at 2:30 and reopen at like 4pm for dinner ) Egg drop soup pretty good , fried rice was overcooked and no vegetables in it , honestly might be worst ive tasted at a restaurant .",POS,pretty,egg,0
"( they close lunch at 2:30 and reopen at like 4pm for dinner ) Egg drop soup pretty good , fried rice was overcooked and no vegetables in it , honestly might be worst ive tasted at a restaurant .",POS,pretty,soup,0
( warning it doesnt reheat well ) They have pictures of about everything on the menu and/or a mounted TV with a slide how of the dishes on the wall .,NEG,doesnt,,0
( warning it doesnt reheat well ) They have pictures of about everything on the menu and/or a mounted TV with a slide how of the dishes on the wall .,NEG,reheat,,0
( warning it doesnt reheat well ) They have pictures of about everything on the menu and/or a mounted TV with a slide how of the dishes on the wall .,NEG,well,,0
") , and the food isn't too oily and feels clean .",POS,clean,food,0
") , and the food isn't too oily and feels clean .",POS,isn't,food,0
") , and the food isn't too oily and feels clean .",POS,oily,food,0
") , and the food isn't too oily and feels clean .",POS,too,food,0
") , but they surprised us with a good sampling of around a dozen dishes , including a well-seasoned ( and somehow still moist ) doro wat .",POS,surprised,doro,0
") , but they surprised us with a good sampling of around a dozen dishes , including a well-seasoned ( and somehow still moist ) doro wat .",POS,surprised,wat,0
") , but they surprised us with a good sampling of around a dozen dishes , including a well-seasoned ( and somehow still moist ) doro wat .",POS,well-seasoned,doro,0
") , but they surprised us with a good sampling of around a dozen dishes , including a well-seasoned ( and somehow still moist ) doro wat .",POS,well-seasoned,wat,0
") , mussels , and split the lobster roll ( that 's if you 're dining for 2 people - share everything ) . Service here is stellar !",POS,is,service,0
") , which only enhanced the outrageously delicious meal prepared for me .",POS,delicious,meal,0
") , which only enhanced the outrageously delicious meal prepared for me .",POS,outrageously,meal,0
) .There isnt really anything inherently wrong with the food ... it 's just that the flavor and quality are kind of underwhelming .,NEU,,food,1
") I expected more , and was somewhat disappointed .",NEG,disappointed,,0
") I expected more , and was somewhat disappointed .",NEG,somewhat,,0
) I 'm looking forward to trying the other bowls and tacos on the menu .,POS,,bowls,1
) I 'm looking forward to trying the other bowls and tacos on the menu .,POS,,other,1
) I 'm looking forward to trying the other bowls and tacos on the menu .,POS,,tacos,1
") I think I will try something with sausage and eggs next time , 'cos it seemed like everyone else 's breakfast looked way better than mine .",POS,try,eggs,0
") I think I will try something with sausage and eggs next time , 'cos it seemed like everyone else 's breakfast looked way better than mine .",POS,try,sausage,0
* If there is one thing I could change about the place is the parking .,NEG,,parking,1
", its so relaxed , friendly and the calamari is fantastic = crispy and perfectly spiced with tons of yummy tentacles a 10 : )",POS,crispy,calamari,0
", its so relaxed , friendly and the calamari is fantastic = crispy and perfectly spiced with tons of yummy tentacles a 10 : )",POS,fantastic,calamari,0
", its so relaxed , friendly and the calamari is fantastic = crispy and perfectly spiced with tons of yummy tentacles a 10 : )",POS,friendly,,0
", its so relaxed , friendly and the calamari is fantastic = crispy and perfectly spiced with tons of yummy tentacles a 10 : )",POS,perfectly,calamari,0
", its so relaxed , friendly and the calamari is fantastic = crispy and perfectly spiced with tons of yummy tentacles a 10 : )",POS,relaxed,,0
", its so relaxed , friendly and the calamari is fantastic = crispy and perfectly spiced with tons of yummy tentacles a 10 : )",POS,SO,,0
", its so relaxed , friendly and the calamari is fantastic = crispy and perfectly spiced with tons of yummy tentacles a 10 : )",POS,Yummy,tentacles,0
... . when he kindly smiled and slid my drinks over to me I thought for sure someone was going to tell me I was on candid camera reality show .,NEG,,,1
": ) Also every cashier is willling to help us , and they are always smile and friendly : )",POS,always,they,0
": ) Also every cashier is willling to help us , and they are always smile and friendly : )",POS,friendly,they,0
": ) Also every cashier is willling to help us , and they are always smile and friendly : )",POS,smile,they,0
": ) Also every cashier is willling to help us , and they are always smile and friendly : )",POS,willling,cashier,0
: ) and it was fabulous .,POS,fabulous,,0
"; ) Our waitress was friendly , prompt and on her game .",POS,,waitress,1
"; ) Our waitress was friendly , prompt and on her game .",POS,friendly,waitress,0
"; ) Our waitress was friendly , prompt and on her game .",POS,prompt,waitress,0
"`` When my friends take me to get ice cream somewhere and I don't see your name and your lovely flavours around , I say `` NO !",POS,lovely,flavours,0
"`` Whenever it 's Monday or Tuesday or Wednesday , my heart breaks a little because Earnest , you are not opened ...",POS,,Earnest,1
'+ 0.002Hella-pricey guacamole : damnit !,NEG,0.002Hella-pricey,Guacamole,0
"'+ 0.012Staff : happy , friendly , accommodating and accurate !",POS,accommodating,0.012Staff,0
"'+ 0.012Staff : happy , friendly , accommodating and accurate !",POS,accurate,0.012Staff,0
"'+ 0.012Staff : happy , friendly , accommodating and accurate !",POS,friendly,0.012Staff,0
"'+ 0.012Staff : happy , friendly , accommodating and accurate !",POS,happy,0.012Staff,0
"'+ 0.021Free refills : present , but few points .",NEG,,0.021Free,1
"'+ 0.181Cleanliness : I didn't notice , so that 's a good sign .",POS,good,0.181Cleanliness,0
"'+0.308 ! Seating : indoors is fine , but hey also have an outdoor-ish seating area , open on one side and full of great light and very airy , while still providing shelter from some of those pesky elements .",POS,,area,1
"'+0.308 ! Seating : indoors is fine , but hey also have an outdoor-ish seating area , open on one side and full of great light and very airy , while still providing shelter from some of those pesky elements .",POS,,outdoor-ish,1
"'+0.308 ! Seating : indoors is fine , but hey also have an outdoor-ish seating area , open on one side and full of great light and very airy , while still providing shelter from some of those pesky elements .",POS,,seating,1
"'+0.308 ! Seating : indoors is fine , but hey also have an outdoor-ish seating area , open on one side and full of great light and very airy , while still providing shelter from some of those pesky elements .",POS,airy,area,0
"'+0.308 ! Seating : indoors is fine , but hey also have an outdoor-ish seating area , open on one side and full of great light and very airy , while still providing shelter from some of those pesky elements .",POS,airy,outdoor-ish,0
"'+0.308 ! Seating : indoors is fine , but hey also have an outdoor-ish seating area , open on one side and full of great light and very airy , while still providing shelter from some of those pesky elements .",POS,airy,seating,0
"'+0.308 ! Seating : indoors is fine , but hey also have an outdoor-ish seating area , open on one side and full of great light and very airy , while still providing shelter from some of those pesky elements .",POS,fine,indoors,0
"'+0.308 ! Seating : indoors is fine , but hey also have an outdoor-ish seating area , open on one side and full of great light and very airy , while still providing shelter from some of those pesky elements .",POS,full,area,0
"'+0.308 ! Seating : indoors is fine , but hey also have an outdoor-ish seating area , open on one side and full of great light and very airy , while still providing shelter from some of those pesky elements .",POS,full,outdoor-ish,0
