raw_words,sentiment,aspect,opinion,subjectivity
- comfortable and look great : - ),POS,NULL,"comfortable, great",0
"! Ballet Pink is really PINKand I have only hand washed these tights once , so Im not sure how long they will kept their firm shape .",POS,Ballet Pink,NULL,1
% xl was at best 3xl on the small side..,POS,xl,best,0
% xl was at best 3xl on the small side..,NEG,3xl,small,0
"( Also show off my muscles well , and some dance tights are too thick to do so ) .",NEG,dance tights,too thick,0
"( Also show off my muscles well , and some dance tights are too thick to do so ) .",POS,NULL,well,0
( It 's easier for me as an Amazon Prime customer to buy two and return one -- avoid the re-stocking fee ) .I 'm glad I finally broke down and bought a real deal dancing shoe like this .,POS,shoe,NULL,1
**Update to this review- still wearing this watch daily over 2 years later ( now September 2012 ) and it still looks great and works great .,POS,watch,"great, NULL, great",0
: ( And they do n't come any larger .,NEG,they,NULL,1
: ( Great quality otherwise !,POS,quality,Great,0
1 not what I expected .,NEG,NULL,NULL,1
12-yr-old ballet student loves these .,POS,NULL,loves,0
4 stars bcs we love the quality of capezio tights .,POS,quality,love,0
"4th pair , excellant quality , more to come .",POS,NULL,NULL,0
"4th pair , excellant quality , more to come .",POS,quality,excellant,0
"A good light sweat shirt , washes and wears well .",POS,sweat shirt,"good, light, well",0
A great price and very good quality . extremely soft .,POS,NULL,extremely soft,0
A great price and very good quality . extremely soft .,POS,price,great,0
A great price and very good quality . extremely soft .,POS,quality,very good,0
"A little dramatic for every day use ( they are dance tights , after all ) , but they are perfect for awesome super shiny legs to kick butt with !",POS,they,perfect,0
A little on the smaller side,NEG,NULL,smaller,0
"A little pricey , but worth it .",NEG,NULL,A little pricey,0
"A little pricey , but worth it .",POS,NULL,worth,0
a little smaller than expected,NEG,NULL,a little smaller,0
"A little stiff , but I expect that will resolve .",NEG,NULL,A little stiff,0
A little tight around hips and thighs but I wore them all day on Halloween .,NEG,them,A little tight,0
A little too small but they are ok,NEG,they,little too small,0
A little too small but they are ok,NEU,they,ok,0
A lot of nice comments on looks .,POS,looks,nice,0
A NICE JEAN SHIRT THAT FITS ME AS EXPECTED AND WORKS WELL WITH MY OUTFITS .,POS,JEAN SHIRT,"FITS, WELL, NICE",0
"A small point , but one that knocked a star off this review for me .",NEG,NULL,NULL,1
"A very dependable , comfortable shoe !",POS,shoe,"very dependable, comfortable",0
A welcome addition to the product line .,POS,NULL,welcome,0
aa little tight but will work,NEU,NULL,NULL,0
aa little tight but will work,NEG,NULL,aa little tight,0
About a half size too large .,NEG,NULL,too large,0
Absolutely horrible .,NEG,NULL,Absolutely horrible,0
Absolutely love the color of this hoodie !,POS,color,Absolutely love,0
Absolutely love these !,POS,NULL,Absolutely love,0
Absolutely love this elegant blouse .,POS,blouse,"Absolutely love, elegant",0
Acceptable as a casual shoe worn with skirts or dresses .,NEU,shoe,Acceptable,0
"Actually , most Life Stride shoes are comfortable for me .",POS,shoes,comfortable,0
"After 3 weeks my hip/iliac/ gluteus medius , whatever , was so sore on my left side , I can not get up from lying or sitting with out crying out in anguish !",NEG,NULL,anguish,0
After a few hour 's of wear they fit great .,POS,they,great,0
After having it for 5 months it is still in great shape !,POS,shape,great,0
After reading previous reviews I made sure I ordered a half size larger than my usual street shoes and it was a perfect fit .,POS,NULL,perfect,0
After reading the other reviews I was glad I ordered a half size larger than normal .,POS,NULL,glad,0
"After reading the reviews that the ran alittle small , I ordered 1/2 size larger and they turned out too big to walk in .",NEG,they,too big,0
"After taking a look at the size chart on the packaging , I didn't even bother to try these on and instead returned them immediately .",NEG,them,NULL,1
After wearing them all day it gets a little tight and irritating .,NEG,them,"irritating, a little tight",0
"All it took was a 5 min conversation and they were ordered , paid for and he received them in about 5 days !",POS,NULL,NULL,1
"also - Minnetonka does NOT make a wide moccasin , there are NONE on their official website in this style .",NEG,Minnetonka,NULL,1
"Also , bought this tan in a 7-1/2 C/D ( wide ) when in fact it is extremely narrow ..",NEG,NULL,extremely narrow,0
"Also , maybe it 's because I got a different color , but these do n't seem as well made as the ones I 've gotten in the past .",POS,NULL,well,0
"Also , shoe mall does not allow free returns .",NEG,NULL,NULL,1
"Also , the price is actually excellent .",POS,price,actually excellent,0
"Also , the very first day I wore them there was no break in period .",POS,them,NULL,1
"Also , there is no groove in the bottom for the stitching .",NEG,bottom,NULL,1
"Also , when they arrived the sticky bits which seal the box were not stuck to top and bottom tabs and the box was generally crushed like it had been sat upon .",NEG,they,NULL,1
"Also the strap rubs my heel and makes a blister , so I need a band-aid for that .",NEG,strap,NULL,1
Altho they are narrows they are a little wide and the heel strap is a bit loose .,NEG,heel strap,a bit loose,0
Altho they are narrows they are a little wide and the heel strap is a bit loose .,NEG,they,"a little wide, narrows",0
"Although I wear a narrow size , this one is still a little large .",NEG,this one,a little large,0
"Although the tights make the legs look beautiful , I have noticed the the seams are coming apart at the crotch .",POS,tights,beautiful,0
"Although these are n't perfect , they are VERY comfortable and I 'll be purchasing them again when my current pair is torn up .",POS,them,NULL,0
"Although these are n't perfect , they are VERY comfortable and I 'll be purchasing them again when my current pair is torn up .",NEU,they,are n't perfect,0
"Although these are n't perfect , they are VERY comfortable and I 'll be purchasing them again when my current pair is torn up .",POS,they,VERY comfortable,0
Always have liked Danskin for performimg !,POS,Danskin,liked,0
Always loved Danskin products since I was little .,POS,Danskin products,loved,0
"Amazing , comfortable cute shoes .",POS,shoes,"Amazing, cute, comfortable",0
Amazing tights !,POS,tights,Amazing,0
"Amazon is good about returns , thank goodness .",POS,Amazon,good,0
Amazon is the seller of this marvelous necessary item for any ballerina .,POS,item,"marvelous, necessary",0
Amazon price was very good .,POS,price,very good,0
"Amazon shipped quickly , the watch is beautiful and I am very happy .",POS,watch,"beautiful, very happy",0
"Amazon shipped quickly , the watch is beautiful and I am very happy .",POS,Amazon,quickly,0
An excellent value for the price !,POS,price,excellent,0
And has become one of my favorite go-tos .,POS,NULL,favorite,0
And I will keep on buying them as long as my daughter keeps growing with them .,POS,them,NULL,1
And the color is exactly as pictured .,POS,color,NULL,1
"and the S/M fits me well in the legs , but from other reviews I knew the waist was going to be small , so I 'm just dealing with it , but very pleased with the color .",POS,color,very pleased,0
"and the S/M fits me well in the legs , but from other reviews I knew the waist was going to be small , so I 'm just dealing with it , but very pleased with the color .",POS,NULL,well,0
And the size C has me pulling them up frequently .,NEG,them,frequently,0
And they hide everything .,POS,they,NULL,1
and they hold up way better than anything else i 've ever tried,POS,they,better,0
And they JUST fit !,POS,they,JUST fit,0
"And turn out this one is perfect for my daughter ( 5 ' 7 , 120lb ) .",POS,NULL,perfect,0
Another complaint is that they are so hard to find !,NEG,they,NULL,1
Arms too baggy .,NEG,Arms,too baggy,0
Arrived quickly and as described .,POS,NULL,"quickly, NULL",0
"As always , Danskin has quality products , this one is no different !",POS,products,NULL,1
"As for their purpose , I had no problems dancing in them : they were smooth enough to let me spin without issue and gave me traction so I was n't spinning out of control .",POS,them,NULL,0
"As for their purpose , I had no problems dancing in them : they were smooth enough to let me spin without issue and gave me traction so I was n't spinning out of control .",POS,they,smooth enough,0
"As I fall firmly into the first category and only wear them for dancing , they work very well for me .",POS,they,very well,0
"As long as I won't have any flash photos taken of me , or be under any stage lights , they will not be overwhelming.While these are about three times the cost of most pantyhose you 'd buy at the supermarket , it is certainly a good investment for a sturdy pair of good quality , USA-made tights .",POS,quality,good,0
"As long as I won't have any flash photos taken of me , or be under any stage lights , they will not be overwhelming.While these are about three times the cost of most pantyhose you 'd buy at the supermarket , it is certainly a good investment for a sturdy pair of good quality , USA-made tights .",POS,tights,"sturdy, good",0
"As other reviewers noted , they run narrow .",NEG,they,narrow,0
"As others have said , the material is not very giving .",NEG,material,not very giving,0
"As they are transition tights , she could pull the feet up and use them with her foot undeez , but they were too small to wear over her feet for her other dance shoes .",NEG,they,too small,0
"As warned in other reviews , I ordered a half size up and it fits perfectly .",POS,NULL,perfectly,0
Aside from that I 'm quite happy with the product .,POS,product,quite happy,0
"At 5'11 , I didn't really need any additional height but the little heel does make it easier to stay on my toes and move my feet faster .",POS,heel,NULL,1
At this point I would strongly recommend these as a buy .,POS,NULL,strongly recommend,0
At this price unbeatable deal .,POS,price,NULL,1
"Average size woman , 5 ' 7 150lbs , ordered a large and should always get XL for comfort !",NEG,NULL,NULL,1
Avoid.Port Authority Women 's Silk Touch Polo run w-a-y big .,NEG,Silk Touch Polo,"Avoid.Port, big",0
Awesome .,POS,NULL,Awesome,0
Awesome find !,POS,NULL,Awesome,0
Awesome fit great look,POS,NULL,Awesome,0
Awesome fit great look,POS,look,great,0
Awesome for wearing for those more revealing cosplays ... At first I was scared when I got it because it was a lot darker than my actual skin tone but when I put it on it stretched out and matched it a lot better ... No one knew I was wearing tights !,POS,tights,a lot better,0
Awesome for wearing for those more revealing cosplays ... At first I was scared when I got it because it was a lot darker than my actual skin tone but when I put it on it stretched out and matched it a lot better ... No one knew I was wearing tights !,POS,NULL,Awesome,0
Awesome for wearing for those more revealing cosplays ... At first I was scared when I got it because it was a lot darker than my actual skin tone but when I put it on it stretched out and matched it a lot better ... No one knew I was wearing tights !,NEG,tights,"scared, a lot darker",0
"Awesome tights , I will be buying more .",POS,tights,"Awesome, NULL",0
"Awesome very comfy bottom of feet , sturdy",POS,NULL,"sturdy, Awesome, very comfy",0
"Barring the fact that it came in a decrepit box , something no department store would give you brand new shoes in , it fitted as expected and was comfortable .",POS,NULL,"NULL, comfortable",0
Based on the reviews I sized up to XL and they fit .,POS,they,fit,0
"Be aware , the color is very vibrant .",NEG,color,very vibrant,0
"Beats pantyhose hands down , and they 're DURABLE .",POS,they,DURABLE,0
"Beautiful , awesome boots if you get them from a none junk shop !",POS,boots,"Beautiful, awesome",0
"Beautiful , hides flaws and dimples and leaves confident legs .",POS,NULL,Beautiful,0
Beautiful color - got the light blue .,POS,color,Beautiful,0
Beautiful color ... ..tempted to buy another one !,POS,NULL,NULL,0
Beautiful color ... ..tempted to buy another one !,POS,color,Beautiful,0
Beautiful dance tights .,POS,dance tights,Beautiful,0
Beautiful shoe,POS,shoe,Beautiful,0
"Beautifully simple , and after wearing them outside a couple times , I have n't noticed any slippage .",POS,them,"NULL, Beautifully simple",0
"Because strap is not adjustable , it does not stay on my heel , a problem .",NEG,strap,not adjustable,0
Best pair of boots I have purchased so far .,POS,boots,Best,0
Best tights around .,POS,tights,Best,0
Better than hose .,POS,NULL,Better,0
"Both are/were great , comfortable shoes .",POS,shoes,"great, comfortable",0
"Both models fit me like the description from Capezio predicted ( one like street shoe size , the other half a size up ) .",POS,models,NULL,1
Both toes ran in the same spot the first time I wore them .,NEG,them,NULL,1
Bought a couple more just to have it around ; besides these are great under pants in the winter time .,POS,NULL,great,0
"Bought a Hanes large , not nearly as generous , or as long , as this is .",POS,Hanes,NULL,1
"Bought a Hanes large , not nearly as generous , or as long , as this is .",POS,NULL,NULL,1
Bought a second Ash/Grey sweater because the first one fit so well and is so warm .,POS,NULL,so well,0
Bought a second Ash/Grey sweater because the first one fit so well and is so warm .,POS,first,"so well, so warm",0
bought it for my mother and she always wears it .,POS,NULL,NULL,1
"bought these fir my boyfriend and he loves them , thank you very much for the great boots",POS,boots,great,0
"bought these fir my boyfriend and he loves them , thank you very much for the great boots",POS,them,loves,0
Bought this as a gift for my boyfriend and he loves it !,POS,NULL,loves,0
"Bought this for my daughter to wear with a cosplay outfit , they looked great !",POS,they,great,0
Broke in quick .,POS,NULL,NULL,1
"But , once on , they are the most moldable , soft , well fitting and supportive sandals I have .",POS,sandals,"well, soft, the most moldable, supportive",0
But after you wear them around for couple hours they do seem to fit better .,POS,they,better,0
"But any formal event , it would be a must !",POS,NULL,NULL,1
but are good shoes,POS,shoes,good,0
But do run a bit small and narrow .,NEG,NULL,"narrow, a bit small",0
"But however , these are by far the most comfortable shoes I 've ever worn in my life .",POS,shoes,most comfortable,0
But I do recommend these tights .,POS,tights,recommend,0
But I loved them .,POS,them,loved,0
"But I needed danceable shoes that go with a dress , and these are good for that .",POS,NULL,good,0
But I wear it as pj 's and at night !,POS,NULL,NULL,1
But I will totes wear them every time there is opportunity for dancing ... .. i.e .,POS,them,NULL,1
But I would recommend them .,POS,them,recommend,0
But it 's still such a bargain that I did not return it .,POS,NULL,bargain,0
But let it be known that you still need to buy taps for them .,NEG,them,NULL,1
But overall I 'm glad I purchased them .,POS,them,glad,0
but price is right so this is my second oair .,POS,price,right,0
BUT STYLE AND COLOR ARE GREAT .,POS,COLOR,GREAT,0
BUT STYLE AND COLOR ARE GREAT .,POS,STYLE,GREAT,0
but the for the price it 's more then worth it !,POS,price,NULL,1
"But the thickness and quality is very good so if you 're going for either the Hooters looks or dance recital and need to have good coverage , these will work great .",POS,NULL,"great, good",0
"But the thickness and quality is very good so if you 're going for either the Hooters looks or dance recital and need to have good coverage , these will work great .",POS,quality,very good,0
"But the thickness and quality is very good so if you 're going for either the Hooters looks or dance recital and need to have good coverage , these will work great .",POS,thickness,very good,0
"But then when I found it on your site recently , I was thrilled , and ordered another pair .",POS,NULL,thrilled,0
"But they are definitely eye catching with the toe and heel clips which has gotten me many compliments , so this is why I gave it three stars not one .",POS,they,definitely eye catching,0
But they are just a little tight and not quite long enough .,NEG,they,"not quite long enough, a little tight",0
"But they do hold up on they 're own pretty well once they are worn in a couple hours , that is of course if you plan to wear them 8 or more hours a day .",POS,they,pretty well,0
But they have one major flaw : the waistband is way too tight .,NEG,waistband,too tight,0
But unfortunately it was the regular hard elastic .,NEG,NULL,unfortunately,0
But what the hell with the price increase ? ? !,NEG,price,hell,0
"But when i wore them to a one hour tango class , followed by a milonga ( dance party ) i had to take the shoes off because the heel cup rubbed the side of my ankle horribly .",NEG,heel cup,NULL,1
But works great and very durable .,POS,NULL,"great, very durable",0
Buy THEM !,POS,THEM,NULL,1
Buying more right now .,POS,NULL,NULL,1
Came in plenty of time .,POS,NULL,NULL,1
Came in quickly and were as I expected them to be .,POS,them,quickly,0
Can be worn day or night .,POS,NULL,NULL,1
Can be worn dressy or casual .,POS,NULL,NULL,1
Can be worn either dressed up or dressed down .,POS,NULL,NULL,1
Capezio are the best tights ever .,POS,tights,best,0
Capezio 's transition tights were definitely made for the dancer .,POS,transition tights,NULL,1
"changing my review after this new pair arrived , the package had clearly been opened , the tights were out of the sleeve and there were someone else 's feet marks in the hosiery .",NEG,tights,NULL,1
Classic and comfortable in a rich dark blue .,POS,NULL,"Classic, comfortable",0
"Closed-toe shoes are painful for my arthritic feet , so this style is perfect if you need something a little on the dressier side with a slight heel .",POS,Closed-toe shoes,painful,0
"Closed-toe shoes are painful for my arthritic feet , so this style is perfect if you need something a little on the dressier side with a slight heel .",POS,style,perfect,0
Color is quite a bit brighter than pictured- I like the real color better than the one in the picture .,POS,Color,a bit brighter,0
Color is quite a bit brighter than pictured- I like the real color better than the one in the picture .,POS,color,like,0
Color is really beautiful .,POS,Color,really beautiful,0
Color was a bit darker than expected so I returned and got the next lighter shade .,NEG,Color,a bit darker,0
"Come on , if you can't provide wide , don't advertise as wide .",NEG,NULL,NULL,1
Comfortable,POS,NULL,Comfortable,0
"Comfortable , nice hieght and affordable .",POS,NULL,"affordable, Comfortable",0
"Comfortable , nice hieght and affordable .",POS,hieght,nice,0
"Comfortable , soft and cool .",POS,NULL,"Comfortable, soft, cool",0
Comfortable and attractive .,POS,NULL,"attractive, Comfortable",0
Comfortable and cute .,POS,NULL,"cute, Comfortable",0
"Comfortable and fit well , but the inner fabric peeled up within a few weeks .",NEG,fabric,NULL,0
"Comfortable and fit well , but the inner fabric peeled up within a few weeks .",POS,NULL,"Comfortable, well",0
Comfortable and nice looking .,POS,NULL,"nice, Comfortable",0
Comfortable and stylish .,POS,NULL,"stylish, Comfortable",0
Comfortable and warm .,POS,NULL,"Comfortable, warm",0
Comfortable but heel strap slides down .,NEG,heel strap,NULL,0
Comfortable but heel strap slides down .,POS,NULL,Comfortable,0
Comfortable right away !,POS,NULL,Comfortable,0
Comfortable sandals .,POS,sandals,Comfortable,0
Comfortable shoe .,POS,shoe,Comfortable,0
Comfortable to walk and stand for hours at a time .,POS,NULL,Comfortable,0
Comfy,POS,NULL,Comfy,0
"comfy , but not so much of a gabric",NEG,NULL,NULL,0
"comfy , but not so much of a gabric",POS,NULL,comfy,0
Comfy shoe ... bought a pair for my Mom in beige ... says they are kind to her feet,POS,shoe,Comfy,0
Comfy shoe ... bought a pair for my Mom in beige ... says they are kind to her feet,POS,they,kind,0
"Competitive price , durable item .",POS,price,Competitive,0
"Competitive price , durable item .",POS,item,durable,0
