raw_words,sentiment,aspect,opinion,subjectivity
"! Ballet Pink is really PINKand I have only hand washed these tights once , so Im not sure how long they will kept their firm shape .",POS,Ballet Pink,,0
% xl was at best 3xl on the small side..,NEG,3xl,small,0
% xl was at best 3xl on the small side..,POS,xl,best,0
"( Also show off my muscles well , and some dance tights are too thick to do so ) .",NEG,dance tights,too thick,0
"( Also show off my muscles well , and some dance tights are too thick to do so ) .",POS,,well,0
( It 's easier for me as an Amazon Prime customer to buy two and return one -- avoid the re-stocking fee ) .I 'm glad I finally broke down and bought a real deal dancing shoe like this .,POS,shoe,,0
**Update to this review- still wearing this watch daily over 2 years later ( now September 2012 ) and it still looks great and works great .,POS,watch,"great, NULL, great",0
- comfortable and look great : - ),POS,,"comfortable, great",0
1 not what I expected .,NEG,,,0
12-yr-old ballet student loves these .,POS,,loves,0
4 stars bcs we love the quality of capezio tights .,POS,quality,love,0
"4th pair , excellant quality , more to come .",POS,,,0
"4th pair , excellant quality , more to come .",POS,quality,excellant,0
: ( And they do n't come any larger .,NEG,they,,0
: ( Great quality otherwise !,POS,quality,Great,0
A NICE JEAN SHIRT THAT FITS ME AS EXPECTED AND WORKS WELL WITH MY OUTFITS .,POS,JEAN SHIRT,"FITS, WELL, NICE",0
"A good light sweat shirt , washes and wears well .",POS,sweat shirt,"good, light, well",0
A great price and very good quality . extremely soft .,POS,,extremely soft,0
A great price and very good quality . extremely soft .,POS,price,great,0
A great price and very good quality . extremely soft .,POS,quality,very good,0
"A little dramatic for every day use ( they are dance tights , after all ) , but they are perfect for awesome super shiny legs to kick butt with !",POS,they,perfect,0
A little on the smaller side,NEG,,smaller,0
"A little pricey , but worth it .",NEG,,A little pricey,0
"A little pricey , but worth it .",POS,,worth,0
"A little stiff , but I expect that will resolve .",NEG,,A little stiff,0
A little tight around hips and thighs but I wore them all day on Halloween .,NEG,them,A little tight,0
A little too small but they are ok,NEG,they,little too small,0
A little too small but they are ok,NEU,they,ok,1
A lot of nice comments on looks .,POS,looks,nice,0
"A small point , but one that knocked a star off this review for me .",NEG,,,0
"A very dependable , comfortable shoe !",POS,shoe,"very dependable, comfortable",0
A welcome addition to the product line .,POS,,welcome,0
About a half size too large .,NEG,,too large,0
Absolutely horrible .,NEG,,Absolutely horrible,0
Absolutely love the color of this hoodie !,POS,color,Absolutely love,0
Absolutely love these !,POS,,Absolutely love,0
Absolutely love this elegant blouse .,POS,blouse,"Absolutely love, elegant",0
Acceptable as a casual shoe worn with skirts or dresses .,NEU,shoe,Acceptable,1
"Actually , most Life Stride shoes are comfortable for me .",POS,shoes,comfortable,0
"After 3 weeks my hip/iliac/ gluteus medius , whatever , was so sore on my left side , I can not get up from lying or sitting with out crying out in anguish !",NEG,,anguish,0
After a few hour 's of wear they fit great .,POS,they,great,0
After having it for 5 months it is still in great shape !,POS,shape,great,0
After reading previous reviews I made sure I ordered a half size larger than my usual street shoes and it was a perfect fit .,POS,,perfect,0
After reading the other reviews I was glad I ordered a half size larger than normal .,POS,,glad,0
"After reading the reviews that the ran alittle small , I ordered 1/2 size larger and they turned out too big to walk in .",NEG,they,too big,0
"After taking a look at the size chart on the packaging , I didn't even bother to try these on and instead returned them immediately .",NEG,them,,0
After wearing them all day it gets a little tight and irritating .,NEG,them,"irritating, a little tight",0
"All it took was a 5 min conversation and they were ordered , paid for and he received them in about 5 days !",POS,,,0
"Also , bought this tan in a 7-1/2 C/D ( wide ) when in fact it is extremely narrow ..",NEG,,extremely narrow,0
"Also , maybe it 's because I got a different color , but these do n't seem as well made as the ones I 've gotten in the past .",POS,,well,0
"Also , shoe mall does not allow free returns .",NEG,,,0
"Also , the price is actually excellent .",POS,price,actually excellent,0
"Also , the very first day I wore them there was no break in period .",POS,them,,0
"Also , there is no groove in the bottom for the stitching .",NEG,bottom,,0
"Also , when they arrived the sticky bits which seal the box were not stuck to top and bottom tabs and the box was generally crushed like it had been sat upon .",NEG,they,,0
"Also the strap rubs my heel and makes a blister , so I need a band-aid for that .",NEG,strap,,0
Altho they are narrows they are a little wide and the heel strap is a bit loose .,NEG,heel strap,a bit loose,0
Altho they are narrows they are a little wide and the heel strap is a bit loose .,NEG,they,"a little wide, narrows",0
"Although I wear a narrow size , this one is still a little large .",NEG,this one,a little large,0
"Although the tights make the legs look beautiful , I have noticed the the seams are coming apart at the crotch .",POS,tights,beautiful,0
"Although these are n't perfect , they are VERY comfortable and I 'll be purchasing them again when my current pair is torn up .",NEU,they,are n't perfect,1
"Although these are n't perfect , they are VERY comfortable and I 'll be purchasing them again when my current pair is torn up .",POS,them,,0
"Although these are n't perfect , they are VERY comfortable and I 'll be purchasing them again when my current pair is torn up .",POS,they,VERY comfortable,0
Always have liked Danskin for performimg !,POS,Danskin,liked,0
Always loved Danskin products since I was little .,POS,Danskin products,loved,0
"Amazing , comfortable cute shoes .",POS,shoes,"Amazing, cute, comfortable",0
Amazing tights !,POS,tights,Amazing,0
"Amazon is good about returns , thank goodness .",POS,Amazon,good,0
Amazon is the seller of this marvelous necessary item for any ballerina .,POS,item,"marvelous, necessary",0
Amazon price was very good .,POS,price,very good,0
"Amazon shipped quickly , the watch is beautiful and I am very happy .",POS,Amazon,quickly,0
"Amazon shipped quickly , the watch is beautiful and I am very happy .",POS,watch,"beautiful, very happy",0
An excellent value for the price !,POS,price,excellent,0
And I will keep on buying them as long as my daughter keeps growing with them .,POS,them,,0
And has become one of my favorite go-tos .,POS,,favorite,0
And the color is exactly as pictured .,POS,color,,0
And the size C has me pulling them up frequently .,NEG,them,frequently,0
And they JUST fit !,POS,they,JUST fit,0
And they hide everything .,POS,they,,0
"And turn out this one is perfect for my daughter ( 5 ' 7 , 120lb ) .",POS,,perfect,0
Another complaint is that they are so hard to find !,NEG,they,,0
Arms too baggy .,NEG,Arms,too baggy,0
Arrived quickly and as described .,POS,,"quickly, NULL",0
"As I fall firmly into the first category and only wear them for dancing , they work very well for me .",POS,they,very well,0
"As always , Danskin has quality products , this one is no different !",POS,products,,0
"As for their purpose , I had no problems dancing in them : they were smooth enough to let me spin without issue and gave me traction so I was n't spinning out of control .",POS,them,,0
"As for their purpose , I had no problems dancing in them : they were smooth enough to let me spin without issue and gave me traction so I was n't spinning out of control .",POS,they,smooth enough,0
"As long as I won't have any flash photos taken of me , or be under any stage lights , they will not be overwhelming.While these are about three times the cost of most pantyhose you 'd buy at the supermarket , it is certainly a good investment for a sturdy pair of good quality , USA-made tights .",POS,quality,good,0
