raw_words,sentiment,aspect,opinion,subjectivity
"( Because of the happening neighborhood , you might want to bring earplugs if you 're a light sleeper . )",NEG,neighborhood,NULL,1
( Note to anybody who is running Boston and books this place ... note that you have a sizeable ladder to climb to get up to the loft ... makes for a difficult climb up and down after those hills in Boston ) .,NEG,loft,difficult,0
"( That said , they have pretty high standards so the fact that they were comfortable in the apartment says a lot about how nice its amenities are ! )",POS,apartment,comfortable,0
"( That said , they have pretty high standards so the fact that they were comfortable in the apartment says a lot about how nice its amenities are ! )",POS,amenities,nice,0
( uber rides from here to anywhere are very reasonable ) We would not hesitate to stay here again if our travels brought us through Boston .,POS,NULL,very reasonable,0
") , and an easy walk to the subway .",POS,NULL,NULL,1
") , and being able to stumble out of bed right down to Park Street Station was extremely nice once we realized that the T is n't as daunting as it looks .",POS,NULL,NULL,1
": ) Overall , very clean and nice one bedroom unit .",POS,unit,"nice, very clean",0
": ) Very happy we chose this place , would absolutely stay here again on our next trip .",POS,place,Very happy,0
"1 block off of Boston Commons , walking distance to the Freedom Trail as well as Back Bay and Newbury Street .",POS,NULL,NULL,1
"1 person is great , it was my wife and I and we did n't have any issues but would not call it spacious .",NEU,NULL,would not call it spacious,0
10 min walk from the subway and very close to the city centre and AirPort .,POS,NULL,NULL,1
4 bedrooms for 3 people meant we got to spread out like divas !,POS,NULL,NULL,1
"5 minutes walk from the T station , 2 metro stations from the very city center .",POS,NULL,NULL,1
5 stahs !,POS,NULL,5 stahs,0
"5-7 minute Uber to MIT , 15 minute or less walk to Fenway , and of course - 0 minute walk to all the shops on Newbury .",POS,NULL,NULL,1
A charming brownstone home .,POS,home,charming,0
A comfortable and clean place .,POS,place,"comfortable, clean",0
A family neighborhood in a nice green house with ample parking on a dead end road .,POS,parking,ample,0
A family neighborhood in a nice green house with ample parking on a dead end road .,POS,house,nice,0
"A great location , walking distance to the waterfront , right on the freedom trail and next to Boston Common .",POS,location,"NULL, great",0
"A great location in central Boston , close to all of the necessities .",POS,location,"NULL, great",0
A great place - very comfortable bed and about 2 blocks to the nearest Metro station .,POS,place,great,0
A great place - very comfortable bed and about 2 blocks to the nearest Metro station .,POS,bed,very comfortable,0
A great place very close to downtown Boston .,POS,place,"great, NULL",0
A group of 5 of us stayed in the home for the labor day weekend and it worked out perfectly .,POS,NULL,perfectly,0
A little cramped with 4 people but doable .,NEU,NULL,"A little cramped, doable",0
