sentence,sentiment,opinion,aspect,subjectivity
"( Because of the happening neighborhood , you might want to bring earplugs if you 're a light sleeper . )",NEG,,neighborhood,1
( Note to anybody who is running Boston and books this place ... note that you have a sizeable ladder to climb to get up to the loft ... makes for a difficult climb up and down after those hills in Boston ) .,NEG,difficult,loft,0
"( That said , they have pretty high standards so the fact that they were comfortable in the apartment says a lot about how nice its amenities are ! )",POS,comfortable,apartment,0
"( That said , they have pretty high standards so the fact that they were comfortable in the apartment says a lot about how nice its amenities are ! )",POS,nice,amenities,0
( uber rides from here to anywhere are very reasonable ) We would not hesitate to stay here again if our travels brought us through Boston .,POS,reasonable,,0
( uber rides from here to anywhere are very reasonable ) We would not hesitate to stay here again if our travels brought us through Boston .,POS,very,,0
") , and an easy walk to the subway .",POS,,,1
") , and being able to stumble out of bed right down to Park Street Station was extremely nice once we realized that the T is n't as daunting as it looks .",POS,,,1
": ) Overall , very clean and nice one bedroom unit .",POS,Clean,unit,0
": ) Overall , very clean and nice one bedroom unit .",POS,nice,unit,0
": ) Overall , very clean and nice one bedroom unit .",POS,very,unit,0
": ) Very happy we chose this place , would absolutely stay here again on our next trip .",POS,happy,place,0
": ) Very happy we chose this place , would absolutely stay here again on our next trip .",POS,very,place,0
"1 block off of Boston Commons , walking distance to the Freedom Trail as well as Back Bay and Newbury Street .",POS,,,1
"1 person is great , it was my wife and I and we did n't have any issues but would not call it spacious .",NEU,call,,1
"1 person is great , it was my wife and I and we did n't have any issues but would not call it spacious .",NEU,it,,1
"1 person is great , it was my wife and I and we did n't have any issues but would not call it spacious .",NEU,not,,1
"1 person is great , it was my wife and I and we did n't have any issues but would not call it spacious .",NEU,spacious,,1
"1 person is great , it was my wife and I and we did n't have any issues but would not call it spacious .",NEU,would,,1
10 min walk from the subway and very close to the city centre and AirPort .,POS,,,1
4 bedrooms for 3 people meant we got to spread out like divas !,POS,,,1
"5 minutes walk from the T station , 2 metro stations from the very city center .",POS,,,1
5 stahs !,POS,5,,0
5 stahs !,POS,stahs,,0
"5-7 minute Uber to MIT , 15 minute or less walk to Fenway , and of course - 0 minute walk to all the shops on Newbury .",POS,,,1
A charming brownstone home .,POS,charming,home,0
A comfortable and clean place .,POS,Clean,place,0
A comfortable and clean place .,POS,comfortable,place,0
A family neighborhood in a nice green house with ample parking on a dead end road .,POS,ample,parking,0
A family neighborhood in a nice green house with ample parking on a dead end road .,POS,nice,house,0
"A great location , walking distance to the waterfront , right on the freedom trail and next to Boston Common .",POS,,location,1
"A great location , walking distance to the waterfront , right on the freedom trail and next to Boston Common .",POS,great,location,0
"A great location in central Boston , close to all of the necessities .",POS,,location,1
"A great location in central Boston , close to all of the necessities .",POS,great,location,0
A great place - very comfortable bed and about 2 blocks to the nearest Metro station .,POS,comfortable,bed,0
A great place - very comfortable bed and about 2 blocks to the nearest Metro station .,POS,great,place,0
A great place - very comfortable bed and about 2 blocks to the nearest Metro station .,POS,very,bed,0
A great place very close to downtown Boston .,POS,,place,1
A great place very close to downtown Boston .,POS,great,place,0
A group of 5 of us stayed in the home for the labor day weekend and it worked out perfectly .,POS,perfectly,,0
A little cramped with 4 people but doable .,NEU,A,,1
A little cramped with 4 people but doable .,NEU,cramped,,1
A little cramped with 4 people but doable .,NEU,doable,,1
A little cramped with 4 people but doable .,NEU,little,,1
"A little inconvenient that the bathroom is two floors below the bedroom , but not a deal breaker when it comes to booking this place !",NEG,A,bathroom,0
"A little inconvenient that the bathroom is two floors below the bedroom , but not a deal breaker when it comes to booking this place !",NEG,inconvenient,bathroom,0
"A little inconvenient that the bathroom is two floors below the bedroom , but not a deal breaker when it comes to booking this place !",NEG,little,bathroom,0
"A lovely , quiet , comfortable home , room has a beautiful view overlooking JP , and everything was as-expected or better .",POS,beautiful,view,0
"A lovely , quiet , comfortable home , room has a beautiful view overlooking JP , and everything was as-expected or better .",POS,better,,0
"A lovely , quiet , comfortable home , room has a beautiful view overlooking JP , and everything was as-expected or better .",POS,comfortable,home,0
"A lovely , quiet , comfortable home , room has a beautiful view overlooking JP , and everything was as-expected or better .",POS,lovely,home,0
"A lovely , quiet , comfortable home , room has a beautiful view overlooking JP , and everything was as-expected or better .",POS,quiet,home,0
A nice quiet get away in the busy city .,POS,nice,,0
A nice quiet get away in the busy city .,POS,quiet,,0
A nice room with a comfy bed !,POS,comfy,bed,0
A nice room with a comfy bed !,POS,nice,room,0
A perfect airbnb experience !,POS,perfect,,0
"A perfect little retreat , quietly nestled amongst the trees .",POS,perfect,,0
"A perfect little retreat , quietly nestled amongst the trees .",POS,quietly,,0
"A quiet , cozy , and comfortable place to relax and sleep .",POS,comfortable,place,0
"A quiet , cozy , and comfortable place to relax and sleep .",POS,cozy,place,0
"A quiet , cozy , and comfortable place to relax and sleep .",POS,quiet,place,0
"A quiet , respectable place with a lovely view !",POS,lovely,view,0
"A quiet , respectable place with a lovely view !",POS,quiet,place,0
"A quiet , respectable place with a lovely view !",POS,respectable,place,0
A really fun place to stay !,POS,fun,place,0
A really nice room ( air-conditioned ) with fully equipped and well cleaned bathroom .,POS,fully,bathroom,0
A really nice room ( air-conditioned ) with fully equipped and well cleaned bathroom .,POS,nice,room,0
A really nice room ( air-conditioned ) with fully equipped and well cleaned bathroom .,POS,really,room,0
A really nice room ( air-conditioned ) with fully equipped and well cleaned bathroom .,POS,well,bathroom,0
A really wonderful host and a beautiful home .,POS,beautiful,home,0
A really wonderful host and a beautiful home .,POS,Really,host,0
A really wonderful host and a beautiful home .,POS,wonderful,host,0
A solid place .,POS,solid,place,0
A truly beautiful place in a perfect location,POS,beautiful,place,0
A truly beautiful place in a perfect location,POS,perfect,location,0
A truly beautiful place in a perfect location,POS,truly,place,0
"A truly great location , and neat place !",POS,great,location,0
"A truly great location , and neat place !",POS,neat,place,0
"A truly great location , and neat place !",POS,truly,location,0
A very minor and somewhat amusing con : the low part of the bathtub is at the opposite end from the drain .,NEG,,bathtub,1
A very stylish and private room in the 3rd floor with lots of natural light and a VERY comfortable queen bed .,POS,comfortable,bed,0
A very stylish and private room in the 3rd floor with lots of natural light and a VERY comfortable queen bed .,POS,comfortable,queen,0
A very stylish and private room in the 3rd floor with lots of natural light and a VERY comfortable queen bed .,POS,private,room,0
A very stylish and private room in the 3rd floor with lots of natural light and a VERY comfortable queen bed .,POS,stylish,room,0
A very stylish and private room in the 3rd floor with lots of natural light and a VERY comfortable queen bed .,POS,very,bed,0
A very stylish and private room in the 3rd floor with lots of natural light and a VERY comfortable queen bed .,POS,very,queen,0
A very stylish and private room in the 3rd floor with lots of natural light and a VERY comfortable queen bed .,POS,very,room,0
A very well appointed studio apartment with a sleeping platform in a wonderful location .,POS,appointed,apartment,0
A very well appointed studio apartment with a sleeping platform in a wonderful location .,POS,appointed,studio,0
A very well appointed studio apartment with a sleeping platform in a wonderful location .,POS,very,apartment,0
A very well appointed studio apartment with a sleeping platform in a wonderful location .,POS,very,studio,0
A very well appointed studio apartment with a sleeping platform in a wonderful location .,POS,well,apartment,0
A very well appointed studio apartment with a sleeping platform in a wonderful location .,POS,well,studio,0
A very well appointed studio apartment with a sleeping platform in a wonderful location .,POS,wonderful,location,0
"A wonderful apartment , in a great building , at an absolutely magnificent location .",POS,absolutely,location,0
"A wonderful apartment , in a great building , at an absolutely magnificent location .",POS,great,building,0
"A wonderful apartment , in a great building , at an absolutely magnificent location .",POS,magnificent,location,0
"A wonderful apartment , in a great building , at an absolutely magnificent location .",POS,wonderful,apartment,0
A wonderful experience .,POS,wonderful,,0
A wonderful location with great amenities and very clean .,POS,clean,location,0
A wonderful location with great amenities and very clean .,POS,great,amenities,0
A wonderful location with great amenities and very clean .,POS,very,location,0
A wonderful location with great amenities and very clean .,POS,wonderful,location,0
A wonderful place in a great location .,POS,great,location,0
A wonderful place in a great location .,POS,wonderful,place,0
A+++ location & host,POS,A+++,host,0
A+++ location & host,POS,A+++,location,0
A+++++++++,POS,,,1
Absolutely perfect location !,POS,absolutely,location,0
Absolutely perfect location !,POS,perfect,location,0
Absolutely recommend this place !,POS,absolutely,place,0
Absolutely recommend this place !,POS,recommend,place,0
Absolutely the kind of stay that makes airbnb so great .,POS,great,Airbnb,0
"Accurate description , great neighborhood , such a cute little space !",NEG,little,space,0
"Accurate description , great neighborhood , such a cute little space !",POS,accurate,description,0
"Accurate description , great neighborhood , such a cute little space !",POS,cute,space,0
"Accurate description , great neighborhood , such a cute little space !",POS,great,neighborhood,0
"Acres of empty bookshelves , only one bedside table in all of the four bedrooms , arms of chairs and couches in the living room were loose .",NEG,empty,bookshelves,0
"Acres of empty bookshelves , only one bedside table in all of the four bedrooms , arms of chairs and couches in the living room were loose .",NEG,loose,arms,0
"Acres of empty bookshelves , only one bedside table in all of the four bedrooms , arms of chairs and couches in the living room were loose .",NEG,loose,chairs,0
"Acres of empty bookshelves , only one bedside table in all of the four bedrooms , arms of chairs and couches in the living room were loose .",NEG,loose,couches,0
"Acres of empty bookshelves , only one bedside table in all of the four bedrooms , arms of chairs and couches in the living room were loose .",NEG,loose,of,0
Added bonus is a wonderful gym with plenty of options within a 2-minute walk and free to use .,POS,,gym,1
Added bonus is a wonderful gym with plenty of options within a 2-minute walk and free to use .,POS,wonderful,gym,0
"Additionally , our flight got delayed due to weather and Jason still greeted us at the door at 4am .",POS,,Jason,1
"After I left some items behind , Jason delivered them to the hotel where I was attending a convention .",POS,,Jason,1
Again ... great place and people ! !,POS,great,people,0
Again ... great place and people ! !,POS,great,place,0
Air conditioner worked great .,POS,great,Air,0
Air conditioner worked great .,POS,great,conditioner,0
All around awesome experience .,POS,Awesome,,0
All around great !,POS,great,,0
All around I highly recommend this place .,POS,Highly,place,0
All around I highly recommend this place .,POS,recommend,place,0
All arrangements were basically seamless .,POS,basically,arrangements,0
All arrangements were basically seamless .,POS,seamless,arrangements,0
All bedrooms very-well furnished .,POS,very-well,bedrooms,0
All but two of the rooms are air conditioned and all have comfortable beds .,POS,,,1
All but two of the rooms are air conditioned and all have comfortable beds .,POS,comfortable,beds,0
"All in all , a good space and great value .",POS,good,space,0
"All in all , a good space and great value .",POS,great,value,0
"All in all , Penny helped to make our first trip to Boston ( and first ever experience with air bnb ) extremely enjoyable and memorable .",POS,,Penny,1
"All in all , Penny helped to make our first trip to Boston ( and first ever experience with air bnb ) extremely enjoyable and memorable .",POS,enjoyable,,0
"All in all , Penny helped to make our first trip to Boston ( and first ever experience with air bnb ) extremely enjoyable and memorable .",POS,extremely,,0
"All in all , Penny helped to make our first trip to Boston ( and first ever experience with air bnb ) extremely enjoyable and memorable .",POS,memorable,,0
All in all a great rental that I recommend .,POS,great,,0
All in all a great rental that I recommend .,POS,recommend,,0
All in all a really good experience .,POS,good,,0
All of the information provided was detailed and thorough .,POS,detailed,information,0
All of the information provided was detailed and thorough .,POS,thorough,information,0
All of the rooms were beautiful and the rooftop deck was a great bonus .,POS,beautiful,rooms,0
All of the rooms were beautiful and the rooftop deck was a great bonus .,POS,great,deck,0
All of the rooms were beautiful and the rooftop deck was a great bonus .,POS,great,rooftop,0
All positive .,POS,positive,,0
All review were accurate .,POS,accurate,review,0
All the amenities that you need for a stay .,POS,,amenities,1
All the technicalities were really well handled from pre-communications to food available for breakfast and snacks .,POS,Really,technicalities,0
All the technicalities were really well handled from pre-communications to food available for breakfast and snacks .,POS,well,technicalities,0
"Allowed early check-in , responded to all messages within minutes , great rooftop , perfect location !",POS,,Check-in,1
"Allowed early check-in , responded to all messages within minutes , great rooftop , perfect location !",POS,,,1
"Allowed early check-in , responded to all messages within minutes , great rooftop , perfect location !",POS,great,rooftop,0
"Allowed early check-in , responded to all messages within minutes , great rooftop , perfect location !",POS,perfect,location,0
Almost forgot ... the rooftop deck is INSANE !,POS,INSANE,deck,0
Almost forgot ... the rooftop deck is INSANE !,POS,INSANE,rooftop,0
Alojamiento correcto,POS,correcto,Alojamiento,0
ALSO - do n't miss out on the gorgeous rooftop balcony .,POS,gorgeous,balcony,0
ALSO - do n't miss out on the gorgeous rooftop balcony .,POS,gorgeous,rooftop,0
"Also , Brent was quick to respond to any questions I had .",POS,quick,Brent,0
"Also , I must say Valerie 's banana cake was amazing !",POS,amazing,banana,0
"Also , I must say Valerie 's banana cake was amazing !",POS,amazing,cake,0
"Also , I must say Valerie 's banana cake was amazing !",POS,amazing,'s,0
"Also , I must say Valerie 's banana cake was amazing !",POS,amazing,Valerie,0
"Also , near public transportation .",POS,,,1
"Also , noted that the loft bed is really cozy , comfortable and the whole apt .",POS,comfortable,bed,0
"Also , noted that the loft bed is really cozy , comfortable and the whole apt .",POS,comfortable,loft,0
"Also , noted that the loft bed is really cozy , comfortable and the whole apt .",POS,cozy,bed,0
"Also , noted that the loft bed is really cozy , comfortable and the whole apt .",POS,cozy,loft,0
"Also , noted that the loft bed is really cozy , comfortable and the whole apt .",POS,Really,bed,0
"Also , noted that the loft bed is really cozy , comfortable and the whole apt .",POS,Really,loft,0
"Also , the house is really nice , cozy and clean .",POS,Clean,house,0
"Also , the house is really nice , cozy and clean .",POS,cozy,house,0
"Also , the house is really nice , cozy and clean .",POS,nice,house,0
"Also , the house is really nice , cozy and clean .",POS,Really,house,0
"Also , the location was perfect ! !",POS,perfect,location,0
"Also , the roof deck is amazing and the view is incredible .",POS,amazing,deck,0
"Also , the roof deck is amazing and the view is incredible .",POS,amazing,roof,0
"Also , the roof deck is amazing and the view is incredible .",POS,incredible,view,0
"Also , Tiffany was an excellent host , responding to messages within the hour at all times .",POS,,Tiffany,1
"Also , Tiffany was an excellent host , responding to messages within the hour at all times .",POS,excellent,Tiffany,0
"Also , we enjoyed talking and sharing memories during the amazing breakfast !",POS,amazing,breakfast,0
"Also , we tried turning on the TV downstairs and it does n't work as it 's not hooked up to anything so if you want to watch tv it 's only upstairs .",NEG,,downstairs,1
"Also , we tried turning on the TV downstairs and it does n't work as it 's not hooked up to anything so if you want to watch tv it 's only upstairs .",NEG,,TV,1
